year,domestic,international,total
2016,21958,460716,482674
2017,19704,549378,569082
2018,16232,567434,583666
2019,16763,609027,625790
2020,5561,155847,161408
2021,11433,360663,372096
2022,12973,760614,773587
2023,12642,804564,817206
2024,14357,810537,824894
2025,13264,862698,875962
