year,domestic,international,total
2016,849543,4122686,4972229
2017,868459,4432764,5301223
2018,829475,4738276,5567751
2019,803994,4738229,5542223
2020,352985,1198138,1551123
2021,516927,2849687,3366614
2022,708866,5148170,5857036
2023,850925,5291888,6142813
2024,906241,6015507,6921748
2025,953718,6139546,7093264
