Μήνας,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,658717.0,748265.0,803592.0,902843.0,892571.0,968708.0,1020493.0,950729.0,1051703.0,897309.0,798010.0,713134.0,762436.0,976388.0,1092844.0,1206809.0,1284404.0,1392885.0,1472736.0,233355.0,773139.0,1447547.0,1602002.0,1834686.0,1992548.0
Φεβρουάριος,645696.0,685836.0,741667.0,790444.0,796580.0,877550.0,907147.0,868460.0,952745.0,795245.0,710237.0,665083.0,726311.0,905505.0,1070294.0,1125334.0,1192905.0,1327788.0,1364631.0,197853.0,836242.0,1357990.0,1607772.0,1751939.0,1982622.0
Μάρτιος,842486.0,821075.0,991306.0,1051522.0,1001420.0,1122602.0,1191600.0,1052858.0,1165970.0,977826.0,864994.0,808954.0,882790.0,1099428.0,1288173.0,1380509.0,1518155.0,1652594.0,639781.0,240660.0,1188823.0,1670574.0,2006821.0,2223179.0,2306569.0
Απρίλιος,938319.0,931029.0,1165413.0,1163490.0,1272750.0,1377339.0,1320902.0,1372488.0,1259031.0,1226552.0,1120486.0,939593.0,1202197.0,1455926.0,1474752.0,1643487.0,1863047.0,1986756.0,23328.0,317981.0,1685862.0,2137965.0,2484637.0,2709727.0,2737046.0
Μάιος,1065161.0,1029832.0,1170624.0,1322422.0,1344661.0,1503439.0,1520859.0,1376137.0,1346739.0,1334552.0,1123197.0,1141604.0,1351980.0,1653428.0,1800482.0,1874078.0,2161379.0,2285206.0,84021.0,579422.0,2056855.0,2538734.0,3010640.0,3100924.0,3217218.0
Ιούνιος,1149207.0,1161239.0,1255774.0,1358542.0,1439337.0,1581572.0,1613314.0,1584455.0,1436857.0,1464750.0,1283887.0,1262676.0,1544794.0,1882093.0,1957066.0,2176121.0,2429560.0,2613094.0,315649.0,1095819.0,2436077.0,2923237.0,3301436.0,3454862.0,3514321.0
Ιούλιος,1282915.0,1301590.0,1422889.0,1596349.0,1697613.0,1852525.0,1811034.0,1846655.0,1699296.0,1694083.0,1497559.0,1450042.0,1774058.0,2139127.0,2375645.0,2562545.0,2853201.0,2981181.0,893622.0,1855595.0,2836613.0,3299333.0,3606854.0,3755476.0,
Αύγουστος,1402225.0,1485371.0,1581683.0,1610429.0,1694640.0,1894821.0,1879755.0,1918902.0,1714239.0,1663244.0,1488104.0,1469107.0,1801982.0,2150265.0,2366601.0,2547848.0,2889163.0,3039865.0,1203521.0,2110482.0,2854195.0,3295923.0,3640547.0,3883627.0,
Σεπτέμβριος,1269467.0,1283026.0,1401601.0,1423588.0,1554085.0,1698099.0,1648278.0,1646316.0,1507947.0,1476414.0,1346981.0,1318996.0,1620794.0,1858739.0,2132546.0,2300230.0,2557759.0,2689401.0,862116.0,1771395.0,2584631.0,3007338.0,3299230.0,3478889.0,
Οκτώβριος,1041963.0,1120089.0,1271956.0,1237140.0,1344881.0,1427008.0,1434075.0,1374542.0,1314162.0,1203434.0,1104900.0,1118832.0,1431754.0,1578118.0,1773871.0,2047708.0,2207142.0,2301556.0,719936.0,1618075.0,2290926.0,2738160.0,3015119.0,3135453.0,
Νοέμβριος,749230.0,821215.0,916042.0,894167.0,985387.0,1093296.0,1056398.0,1095216.0,989825.0,846590.0,810027.0,815454.0,1038889.0,1205089.0,1332726.0,1446137.0,1623582.0,1666654.0,263022.0,1218267.0,1596906.0,1897760.0,2150555.0,2356316.0,
Δεκέμβριος,782062.0,863750.0,939785.0,930084.0,1055783.0,1141444.0,1062636.0,1138831.0,972585.0,866972.0,795659.0,832582.0,1058384.0,1183271.0,1351998.0,1425660.0,1555134.0,1637013.0,236031.0,1106882.0,1588399.0,1859684.0,2129145.0,2308603.0,
