date,domestic,international,total
2016-01-01,8833,0,8833
2016-02-01,8518,0,8518
2016-03-01,9702,0,9702
2016-04-01,11259,1340,12599
2016-05-01,14489,16987,31476
2016-06-01,15222,31745,46967
2016-07-01,19495,49857,69352
2016-08-01,20849,54266,75115
2016-09-01,14640,43391,58031
2016-10-01,11979,9744,21723
2016-11-01,9700,0,9700
2016-12-01,11297,0,11297
2017-01-01,9246,0,9246
2017-02-01,8775,0,8775
2017-03-01,10422,0,10422
2017-04-01,12302,1521,13823
2017-05-01,12249,18507,30756
2017-06-01,15351,44840,60191
2017-07-01,20450,58367,78817
2017-08-01,23878,63930,87808
2017-09-01,16307,51197,67504
2017-10-01,11540,10596,22136
2017-11-01,10295,14,10309
2017-12-01,10498,0,10498
2018-01-01,9911,12,9923
2018-02-01,8881,0,8881
2018-03-01,11033,0,11033
2018-04-01,12314,1752,14066
2018-05-01,13136,32197,45333
2018-06-01,14516,51881,66397
2018-07-01,20336,69130,89466
2018-08-01,23829,65017,88846
2018-09-01,18128,55738,73866
2018-10-01,15730,14401,30131
2018-11-01,11949,0,11949
2018-12-01,12858,0,12858
2019-01-01,11106,0,11106
2019-02-01,10381,0,10381
2019-03-01,12016,18,12034
2019-04-01,13650,3683,17333
2019-05-01,15481,29247,44728
2019-06-01,16412,56241,72653
2019-07-01,21353,67225,88578
2019-08-01,23573,67977,91550
2019-09-01,17753,58081,75834
2019-10-01,14290,16031,30321
2019-11-01,12877,0,12877
2019-12-01,12563,22,12585
2020-01-01,12273,0,12273
2020-02-01,11575,0,11575
2020-03-01,7598,0,7598
2020-04-01,569,0,569
2020-05-01,2776,12,2788
2020-06-01,7814,1,7815
2020-07-01,12507,13288,25795
2020-08-01,15650,17303,32953
2020-09-01,11426,11070,22496
2020-10-01,9200,1895,11095
2020-11-01,4707,2,4709
2020-12-01,4574,59,4633
2021-01-01,5071,6,5077
2021-02-01,4616,0,4616
2021-03-01,4687,0,4687
2021-04-01,6088,0,6088
2021-05-01,9291,947,10238
2021-06-01,12749,13669,26418
2021-07-01,17738,34057,51795
2021-08-01,20651,42618,63269
2021-09-01,16025,37686,53711
2021-10-01,13046,9734,22780
2021-11-01,10662,1,10663
2021-12-01,10956,0,10956
2022-01-01,8899,0,8899
2022-02-01,9010,0,9010
2022-03-01,10160,0,10160
2022-04-01,13251,3049,16300
2022-05-01,14536,26828,41364
2022-06-01,15996,51654,67650
2022-07-01,21569,61799,83368
2022-08-01,24266,67569,91835
2022-09-01,17714,54371,72085
2022-10-01,14318,13347,27665
2022-11-01,12599,0,12599
2022-12-01,12329,0,12329
2023-01-01,12165,0,12165
2023-02-01,11148,0,11148
2023-03-01,12090,0,12090
2023-04-01,14989,3189,18178
2023-05-01,14969,28833,43802
2023-06-01,18946,51186,70132
2023-07-01,21829,66346,88175
2023-08-01,26274,64198,90472
2023-09-01,19362,56739,76101
2023-10-01,15708,13459,29167
2023-11-01,13258,0,13258
2023-12-01,12618,0,12618
2024-01-01,11820,0,11820
2024-02-01,11361,0,11361
2024-03-01,12662,0,12662
2024-04-01,13788,2061,15849
2024-05-01,17097,30285,47382
2024-06-01,20673,57509,78182
2024-07-01,24748,65024,89772
2024-08-01,25942,66709,92651
2024-09-01,19754,56722,76476
2024-10-01,16994,16823,33817
2024-11-01,4212,244,4456
2024-12-01,13766,0,13766
2025-01-01,12265,0,12265
2025-02-01,11898,0,11898
2025-03-01,12582,0,12582
2025-04-01,15586,3674,19260
2025-05-01,16280,30832,47112
2025-06-01,21550,52735,74285
2025-07-01,26811,60621,87432
2025-08-01,28672,63329,92001
2025-09-01,21153,56896,78049
2025-10-01,17225,17641,34866
2025-11-01,13463,0,13463
2025-12-01,13204,0,13204
2026-01-01,12295,0,12295
2026-02-01,12233,0,12233
2026-03-01,13670,0,13670
2026-04-01,16525,3900,20425
2026-05-01,17246,37967,55213
2026-06-01,23379,62044,85423
