year,month,month_nr,domestic,international
2016,January,1,14442,0
2016,February,2,14681,2
2016,March,3,16229,2053
2016,April,4,22740,46200
2016,May,5,28299,255786
2016,June,6,32744,409344
2016,July,7,41003,554222
2016,August,8,39973,572346
2016,September,9,32248,439456
2016,October,10,23576,193509
2016,November,11,16217,3055
2016,December,12,17331,57
2017,January,1,14935,0
2017,February,2,13754,14
2017,March,3,17596,4667
2017,April,4,22411,59492
2017,May,5,25982,262079
2017,June,6,29742,445991
2017,July,7,37358,582126
2017,August,8,37894,590278
2017,September,9,30541,474583
2017,October,10,23213,198634
2017,November,11,21652,3857
2017,December,12,20667,484
2018,January,1,19445,169
2018,February,2,18257,30
2018,March,3,20316,12027
2018,April,4,24658,88733
2018,May,5,28010,326995
2018,June,6,31736,529812
2018,July,7,42862,644397
2018,August,8,45694,659063
2018,September,9,35394,531874
2018,October,10,28538,227723
2018,November,11,22468,2354
2018,December,12,22910,676
2019,January,1,20537,36
2019,February,2,19906,27
2019,March,3,23221,975
2019,April,4,24627,106020
2019,May,5,28579,319473
2019,June,6,34840,506881
2019,July,7,40993,617503
2019,August,8,42577,642007
2019,September,9,34646,510535
2019,October,10,27958,225290
2019,November,11,22816,3996
2019,December,12,22144,377
2020,January,1,20638,10
2020,February,2,20877,204
2020,March,3,10411,175
2020,April,4,664,3
2020,May,5,2897,0
2020,June,6,8923,32
2020,July,7,18297,133877
2020,August,8,21523,322710
2020,September,9,14626,234236
2020,October,10,11958,126542
2020,November,11,4872,2736
2020,December,12,4785,41
2021,January,1,4779,39
2021,February,2,4634,23
2021,March,3,5550,160
2021,April,4,6277,187
2021,May,5,11710,22580
2021,June,6,18810,140931
2021,July,7,31840,416016
2021,August,8,39010,560867
2021,September,9,29738,426672
2021,October,10,24581,261323
2021,November,11,18617,1605
2021,December,12,18665,90
2022,January,1,14153,148
2022,February,2,15785,78
2022,March,3,18934,5765
2022,April,4,22320,117058
2022,May,5,27432,304637
2022,June,6,38875,570231
2022,July,7,45165,751073
2022,August,8,46729,775951
2022,September,9,40403,598153
2022,October,10,27982,275757
2022,November,11,24071,5112
2022,December,12,23266,28
2023,January,1,12507,4
2023,February,2,9249,0
2023,March,3,21889,10558
2023,April,4,28335,122355
2023,May,5,33883,331203
2023,June,6,45924,630112
