year,month,month_nr,domestic,international,total
2016,January,1,62539,4356,66895
2016,February,2,62190,4402,66592
2016,March,3,71474,15646,87120
2016,April,4,69885,90623,160508
2016,May,5,75593,249402,324995
2016,June,6,76362,318189,394551
2016,July,7,86697,434470,521167
2016,August,8,90074,392659,482733
2016,September,9,78263,341507,419770
2016,October,10,71903,219025,290928
2016,November,11,66680,10726,77406
2016,December,12,69371,4661,74032
2017,January,1,63600,4225,67825
2017,February,2,62573,3951,66524
2017,March,3,68645,13823,82468
2017,April,4,69185,114370,183555
2017,May,5,71333,257459,328792
2017,June,6,78053,358690,436743
2017,July,7,88279,451333,539612
2017,August,8,89927,411159,501086
2017,September,9,73910,373931,447841
2017,October,10,70839,218646,289485
2017,November,11,48131,3418,51549
2017,December,12,46849,80,46929
2018,January,1,43251,4,43255
2018,February,2,39314,524,39838
2018,March,3,52029,18674,70703
2018,April,4,67599,126429,194028
2018,May,5,68802,305457,374259
2018,June,6,47916,397248,445164
2018,July,7,62187,464252,526439
2018,August,8,62177,427519,489696
2018,September,9,53109,386533,439642
2018,October,10,45059,224184,269243
2018,November,11,52109,6944,59053
2018,December,12,53171,4504,57675
2019,January,1,48022,2927,50949
2019,February,2,44786,2875,47661
2019,March,3,51057,3560,54617
2019,April,4,49801,119460,169261
2019,May,5,54324,288963,343287
2019,June,6,60783,400210,460993
2019,July,7,70933,442521,513454
2019,August,8,72778,429236,502014
2019,September,9,60235,375141,435376
2019,October,10,55956,232213,288169
2019,November,11,51645,10319,61964
2019,December,12,52626,3171,55797
2020,January,1,47227,2306,49533
2020,February,2,44590,3011,47601
2020,March,3,21528,1055,22583
2020,April,4,818,6,824
2020,May,5,5702,1,5703
2020,June,6,17804,0,17804
2020,July,7,32940,79169,112109
2020,August,8,42343,160238,202581
2020,September,9,32723,107675,140398
2020,October,10,31142,53926,85068
2020,November,11,9450,703,10153
2020,December,12,9118,7,9125
2021,January,1,10539,16,10555
2021,February,2,8868,2,8870
2021,March,3,10274,307,10581
2021,April,4,14270,219,14489
2021,May,5,26532,19599,46131
2021,June,6,44012,91309,135321
2021,July,7,62168,313760,375928
2021,August,8,68096,365196,433292
2021,September,9,59683,291897,351580
2021,October,10,59371,249840,309211
2021,November,11,45769,6745,52514
2021,December,12,44716,2048,46764
2022,January,1,34382,1016,35398
2022,February,2,35310,1791,37101
2022,March,3,43683,9610,53293
2022,April,4,53853,115140,168993
2022,May,5,55579,274610,330189
2022,June,6,62783,436412,499195
2022,July,7,72071,548348,620419
2022,August,8,72567,514297,586864
2022,September,9,64655,435411,500066
2022,October,10,66598,263763,330361
2022,November,11,58808,8648,67456
2022,December,12,58556,2911,61467
2023,January,1,54855,2614,57469
2023,February,2,51968,2507,54475
2023,March,3,59712,13187,72899
2023,April,4,66001,126299,192300
2023,May,5,72295,300904,373199
2023,June,6,77266,466858,544124
2023,July,7,83282,588996,672278
2023,August,8,83014,542270,625284
2023,September,9,76278,478662,554940
2023,October,10,77097,282877,359974
2023,November,11,62357,11304,73661
2023,December,12,64668,3145,67813
2024,January,1,55805,2654,58459
2024,February,2,61477,2889,64366
2024,March,3,66727,9728,76455
2024,April,4,64224,122668,186892
2024,May,5,74020,337902,411922
2024,June,6,85143,518065,603208
2024,July,7,93481,621721,715202
2024,August,8,94426,589753,684179
2024,September,9,85597,508548,594145
2024,October,10,82922,325418,408340
2024,November,11,65559,12352,77911
2024,December,12,66943,4104,71047
2025,January,1,60640,3125,63765
2025,February,2,58200,2271,60471
2025,March,3,70459,5809,76268
2025,April,4,76383,122719,199102
2025,May,5,77429,358251,435680
2025,June,6,91230,527572,618802
2025,July,7,103276,645677,748953
2025,August,8,108500,621678,730178
2025,September,9,94332,520585,614917
2025,October,10,90532,353012,443544
2025,November,11,75907,11543,87450
2025,December,12,67619,4080,71699
2026,January,1,65490,3215,68705
2026,February,2,66379,3335,69714
2026,March,3,71196,12497,83693
2026,April,4,76903,155099,232002
2026,May,5,83464,421948,505412
