Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,14442.0,14935.0,19614.0,20573.0,20648.0,4818.0,14301.0,12511.0,13253.0,9939.0,13592.0
Φεβρουάριος,14683.0,13768.0,18287.0,19933.0,21081.0,4657.0,15863.0,9249.0,19788.0,23159.0,24277.0
Μάρτιος,18282.0,22263.0,32343.0,24196.0,10586.0,5710.0,24699.0,32447.0,34816.0,29828.0,38826.0
Απρίλιος,68940.0,81903.0,113391.0,130647.0,667.0,6464.0,139378.0,150690.0,162841.0,170830.0,189508.0
Μάιος,284085.0,288061.0,355005.0,348052.0,2897.0,34290.0,332069.0,365086.0,416523.0,445897.0,493900.0
Ιούνιος,442088.0,475733.0,561548.0,541721.0,8955.0,159741.0,609106.0,676055.0,708362.0,747505.0,788391.0
Ιούλιος,595225.0,619484.0,687259.0,658496.0,152174.0,447856.0,796238.0,859634.0,894725.0,927934.0,
Αύγουστος,612319.0,628172.0,704757.0,684584.0,344233.0,599877.0,822680.0,866624.0,927546.0,976245.0,
Σεπτέμβριος,471704.0,505124.0,567268.0,545181.0,248862.0,456410.0,638556.0,701403.0,720733.0,777270.0,
Οκτώβριος,217085.0,221847.0,256261.0,253248.0,138500.0,285904.0,303739.0,348568.0,397175.0,446848.0,
Νοέμβριος,19272.0,25509.0,24822.0,26812.0,7608.0,20222.0,29183.0,23679.0,28508.0,35783.0,
Δεκέμβριος,17388.0,21151.0,23586.0,22521.0,4826.0,18755.0,23294.0,22107.0,19478.0,27572.0,
