Μήνας,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Ιανουάριος,8833.0,9246.0,9923.0,11106.0,12273.0,5077.0,8899.0,12165.0,11820.0,12265.0,12295.0
Φεβρουάριος,8518.0,8775.0,8881.0,10381.0,11575.0,4616.0,9010.0,11148.0,11361.0,11898.0,12233.0
Μάρτιος,9702.0,10422.0,11033.0,12034.0,7598.0,4687.0,10160.0,12090.0,12662.0,12582.0,13670.0
Απρίλιος,12599.0,13823.0,14066.0,17333.0,569.0,6088.0,16300.0,18178.0,15849.0,19260.0,20425.0
Μάιος,31476.0,30756.0,45333.0,44728.0,2788.0,10238.0,41364.0,43802.0,47382.0,47112.0,55213.0
Ιούνιος,46967.0,60191.0,66397.0,72653.0,7815.0,26418.0,67650.0,70132.0,78182.0,74285.0,
Ιούλιος,69352.0,78817.0,89466.0,88578.0,25795.0,51795.0,83368.0,88175.0,89772.0,87432.0,
Αύγουστος,75115.0,87808.0,88846.0,91550.0,32953.0,63269.0,91835.0,90472.0,92651.0,92001.0,
Σεπτέμβριος,58031.0,67504.0,73866.0,75834.0,22496.0,53711.0,72085.0,76101.0,76476.0,78049.0,
Οκτώβριος,21723.0,22136.0,30131.0,30321.0,11095.0,22780.0,27665.0,29167.0,33817.0,34866.0,
Νοέμβριος,9700.0,10309.0,11949.0,12877.0,4709.0,10663.0,12599.0,13258.0,4456.0,13463.0,
Δεκέμβριος,11297.0,10498.0,12858.0,12585.0,4633.0,10956.0,12329.0,12618.0,13766.0,13204.0,
