year,domestic,international,total
2016,897770,809211,1706981
2017,1022117,908894,1931011
2018,1186872,1068206,2255078
2019,1228840,1071600,2300440
2020,283764,289199,572963
2021,561780,984804,1546584
2022,1061360,1683290,2744650
2023,1259564,1516241,2775805
2024,1333326,1543796,2877122
2025,1085988,1332231,2418219
