date,domestic,international,total
2016-01-01,11361,0,11361
2016-02-01,10606,0,10606
2016-03-01,12925,395,13320
2016-04-01,14795,20696,35491
2016-05-01,16284,178444,194728
2016-06-01,18490,274910,293400
2016-07-01,29352,369738,399090
2016-08-01,32714,390596,423310
2016-09-01,19853,314283,334136
2016-10-01,16068,165856,181924
2016-11-01,12122,296,12418
2016-12-01,12438,0,12438
2017-01-01,10614,0,10614
2017-02-01,10114,0,10114
2017-03-01,12960,7,12967
2017-04-01,16170,26331,42501
2017-05-01,17541,213003,230544
2017-06-01,22972,350637,373609
2017-07-01,31396,439281,470677
2017-08-01,33437,446499,479936
2017-09-01,22317,377551,399868
2017-10-01,19036,229365,248401
2017-11-01,18413,3572,21985
2017-12-01,18813,2,18815
2018-01-01,17360,3,17363
2018-02-01,13883,0,13883
2018-03-01,8142,458,8600
2018-04-01,19366,25717,45083
2018-05-01,23084,290227,313311
2018-06-01,26117,411195,437312
2018-07-01,34686,488306,522992
2018-08-01,37775,500607,538382
2018-09-01,28038,420198,448236
2018-10-01,23152,256111,279263
2018-11-01,20404,1882,22286
2018-12-01,19718,0,19718
2019-01-01,17833,0,17833
2019-02-01,16995,0,16995
2019-03-01,19388,209,19597
2019-04-01,20300,47285,67585
2019-05-01,23623,278340,301963
2019-06-01,25482,416836,442318
2019-07-01,33402,484247,517649
2019-08-01,37940,516470,554410
2019-09-01,28082,404779,432861
2019-10-01,22796,241098,263894
2019-11-01,20170,2407,22577
2019-12-01,18937,25,18962
2020-01-01,17627,22,17649
2020-02-01,16672,0,16672
2020-03-01,10192,22,10214
2020-04-01,693,25,718
2020-05-01,2470,0,2470
2020-06-01,10300,180,10480
2020-07-01,17495,100796,118291
2020-08-01,21313,218191,239504
2020-09-01,14693,181415,196108
2020-10-01,13102,159239,172341
2020-11-01,5260,6371,11631
2020-12-01,4575,2,4577
2021-01-01,5021,0,5021
2021-02-01,4161,0,4161
2021-03-01,4849,0,4849
2021-04-01,6706,0,6706
2021-05-01,11392,24812,36204
2021-06-01,16268,108292,124560
2021-07-01,23363,306814,330177
2021-08-01,27981,396324,424305
2021-09-01,19897,310352,330249
2021-10-01,18977,250462,269439
2021-11-01,18274,3434,21708
2021-12-01,17139,0,17139
2022-01-01,12263,0,12263
2022-02-01,12768,0,12768
2022-03-01,15700,844,16544
2022-04-01,21636,49547,71183
2022-05-01,20761,261392,282153
2022-06-01,24758,411771,436529
2022-07-01,31869,523006,554875
2022-08-01,34167,536456,570623
2022-09-01,24797,436271,461068
2022-10-01,23335,303815,327150
2022-11-01,20993,4588,25581
2022-12-01,20853,0,20853
2023-01-01,18951,0,18951
2023-02-01,16248,0,16248
2023-03-01,20142,561,20703
2023-04-01,23871,48171,72042
2023-05-01,23535,283043,306578
2023-06-01,27990,442574,470564
2023-07-01,36320,545824,582144
2023-08-01,38660,558284,596944
2023-09-01,30038,462962,493000
2023-10-01,27014,303021,330035
2023-11-01,21984,4500,26484
2023-12-01,21022,4,21026
2024-01-01,18838,9,18847
2024-02-01,18488,4,18492
2024-03-01,20803,1321,22124
2024-04-01,24570,43068,67638
2024-05-01,29501,311215,340716
2024-06-01,29191,475974,505165
2024-07-01,36574,550288,586862
2024-08-01,39906,573600,613506
2024-09-01,30386,459295,489681
2024-10-01,29275,317826,347101
2024-11-01,25091,10864,35955
2024-12-01,23559,13,23572
2025-01-01,21161,0,21161
2025-02-01,17833,0,17833
2025-03-01,22010,181,22191
2025-04-01,28484,48805,77289
2025-05-01,26086,331746,357832
2025-06-01,33275,470482,503757
2025-07-01,39539,557054,596593
2025-08-01,42939,589000,631939
2025-09-01,36461,479576,516037
2025-10-01,30333,337214,367547
2025-11-01,26812,12583,39395
2025-12-01,24489,0,24489
2026-01-01,22455,0,22455
2026-02-01,20246,7,20253
2026-03-01,23671,1020,24691
2026-04-01,29706,34242,63948
2026-05-01,27576,325073,352649
2026-06-01,33089,465846,498935
