date,EL,EU_median
1995,-9.9,-4.8
1996,-8.4,-3.6
1997,-6.2,-3.0
1998,-6.5,-2.6
1999,-6.0,-2.6
2000,-4.2,-2.4
2001,-5.6,-2.0
2002,-6.2,-2.4
2003,-8.0,-2.3
2004,-9.1,-2.0
2005,-6.3,-2.1
2006,-6.0,-1.3
2007,-6.8,-0.6
2008,-10.3,-2.5
2009,-15.4,-5.5
2010,-11.4,-5.1
2011,-10.5,-4.4
2012,-9.3,-3.8
2013,-13.6,-2.7
2014,-3.8,-2.8
2015,-5.9,-1.9
2016,0.2,-0.8
2017,0.7,-0.3
2018,0.9,-0.1
2019,0.8,0.3
2020,-9.6,-5.8
2021,-7.2,-4.0
2022,-2.6,-2.6
2023,-1.4,-2.6
2024,1.2,-2.0
