Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,7366956.0,44719787.0,-37352831.0
1,Beverages and tobacco,Ποτά και καπνός,622377.0,2116906.0,-1494529.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",437928968.0,72467863.0,365461105.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",547020731.0,2451065.0,544569666.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,265662.0,658820.0,-393158.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,2539958.0,246061011.0,-243521053.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",8067335.0,608683721.0,-600616386.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,1123233.0,697635629.0,-696512396.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,695944.0,305549841.0,-304853897.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",1840.0,9.0,1831.0
