Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
00,Live animals other than animals of division 03,Ζωντανά ζώα,,24888.0,
01,Meat and meat preparations,Κρέας και παρασκευάσματα κρέατος,,11280.0,
02,Dairy products and birds' eggs,Γαλακτοκομικά προϊόντα και αυγά πτηνών,2983771.0,1.0,2983770.0
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους",128677.0,9994634.0,-9865957.0
04,Cereals and cereal preparations,Δημητριακά και παρασκευάσματα δημητριακών,1321561.0,662217.0,659344.0
05,Vegetables and fruit,Λαχανικά και φρούτα,2875949.0,18602358.0,-15726409.0
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",11125.0,3929436.0,-3918311.0
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",1512.0,1741436.0,-1739924.0
08,Feeding stuff for animals (not including unmilled cereals),Ζωοτροφές,,8126511.0,
09,Miscellaneous edible products and preparations,Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,21861.0,1627017.0,-1605156.0
11,Beverages,Ποτά,619652.0,24480.0,595172.0
12,Tobacco and tobacco manufactures,Καπνός και προϊόντα καπνού,2748.0,2092426.0,-2089678.0
21,"Hides, skins and furskins, raw","Δορές, δέρματα και γουναρικά ακατέργαστα",,70.0,
22,Oil-seeds and oleaginous fruits,Ελαιόσποροι και ελαιώδεις καρποί,52692.0,4164927.0,-4112235.0
23,Crude rubber (including synthetic and reclaimed),Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),,1086501.0,
24,Cork and wood,Ξυλεία και φελλός,22862.0,8672500.0,-8649638.0
25,Pulp and waste paper,Πολτός και απορρίμματα χαρτιού,,636.0,
26,Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric),"Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα",,8820753.0,
27,"Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum and precious stones)","Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",353572583.0,48896723.0,304675860.0
28,Metalliferous ores and metal scrap,Μεταλλεύματα και απορρίμματα μετάλλων,84279550.0,205169.0,84074381.0
29,"Crude animal and vegetable materials, n.e.s.","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",1281.0,628894.0,-627613.0
32,"Coal, coke and briquettes","Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες",306139.0,740000.0,-433861.0
