Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
00,Live animals other than animals of division 03,Ζωντανά ζώα,,681538.0,
01,Meat and meat preparations,Κρέας και παρασκευάσματα κρέατος,,49815.0,
02,Dairy products and birds' eggs,Γαλακτοκομικά προϊόντα και αυγά πτηνών,15164495.0,1296.0,15163199.0
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους",923794.0,35096909.0,-34173115.0
04,Cereals and cereal preparations,Δημητριακά και παρασκευάσματα δημητριακών,1339272.0,1081947.0,257325.0
05,Vegetables and fruit,Λαχανικά και φρούτα,3828232.0,34381330.0,-30553098.0
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",43920.0,6532055.0,-6488135.0
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",12553.0,3160746.0,-3148193.0
08,Feeding stuff for animals (not including unmilled cereals),Ζωοτροφές,,9350314.0,
09,Miscellaneous edible products and preparations,Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,71798.0,4429450.0,-4357652.0
11,Beverages,Ποτά,811068.0,87032.0,724036.0
12,Tobacco and tobacco manufactures,Καπνός και προϊόντα καπνού,192302.0,9673369.0,-9481067.0
21,"Hides, skins and furskins, raw","Δορές, δέρματα και γουναρικά ακατέργαστα",,6682.0,
22,Oil-seeds and oleaginous fruits,Ελαιόσποροι και ελαιώδεις καρποί,128797.0,7584412.0,-7455615.0
23,Crude rubber (including synthetic and reclaimed),Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),,1996444.0,
24,Cork and wood,Ξυλεία και φελλός,207754.0,6614443.0,-6406689.0
25,Pulp and waste paper,Πολτός και απορρίμματα χαρτιού,,749.0,
26,Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric),"Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα",,4332395.0,
27,"Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum and precious stones)","Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",78889558.0,3290176.0,75599382.0
28,Metalliferous ores and metal scrap,Μεταλλεύματα και απορρίμματα μετάλλων,120330212.0,97966.0,120232246.0
29,"Crude animal and vegetable materials, n.e.s.","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",454962.0,3406059.0,-2951097.0
32,"Coal, coke and briquettes","Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες",106223.0,355520.0,-249297.0
33,"Petroleum, petroleum products and related materials",Πετρέλαιο και προϊόντα πετρελαίου,278465145.0,2075638.0,276389507.0
41,Animal oils and fats,Λάδια και λίπη ζωικής προέλευσης,,1846571.0,
42,"Fixed vegetable fats and oils, crude, refined or fractionated","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",1752895.0,43168.0,1709727.0
43,"Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, n.e.s.","Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",,1685359.0,
51,Organic chemicals,Οργανικά χημικά,195072.0,121197421.0,-121002349.0
52,Inorganic chemicals,Ανόργανα χημικά,26398.0,17922948.0,-17896550.0
53,"Dyeing, tanning and colouring materials","Βαφικές, δεψικές και χρωστικές ύλες",1335938.0,8931042.0,-7595104.0
54,Medicinal and pharmaceutical products,Ιατρικά και φαρμακευτικά προϊόντα,102790944.0,44718835.0,58072109.0
