date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,,,67600.0,148800.0,6000.0,19300.0,79600.0,58965000.0,1600.0,104400.0,26500.0,53700.0,20500.0,2700.0,,28900.0,6500.0,1753900.0,,3200.0,100.0,,,,,344600.0,500.0,,39500.0,13100.0,,,218300.0,40200.0,88271400.0,0.0,3499800.0,415800.0,74200.0,3493000.0,21100.0,5200.0,,,0.0,1100.0,1659900.0,610800.0,1008100.0,,34800.0,19900.0,2479500.0,4600.0,700.0,27500.0,1495600.0,,,800.0,374400.0,
2003,,40900.0,63900.0,150700.0,10000.0,29200.0,458200.0,29900000.0,,72600.0,22300.0,72800.0,61400.0,71600.0,60000.0,14400.0,73900.0,2659000.0,,8000.0,400.0,,,,,123100.0,400.0,,,10200.0,,,156000.0,990100.0,142338700.0,,10190600.0,878800.0,0.0,361700.0,21200.0,,100.0,,0.0,,809600.0,48700.0,1265300.0,44800.0,0.0,12100.0,622800.0,4300.0,,67600.0,12645200.0,,900.0,500.0,2400.0,101400.0
2004,,15700.0,160700.0,349900.0,0.0,,496100.0,,,198100.0,183100.0,62900.0,46700.0,590800.0,1036500.0,1700.0,77900.0,543100.0,,1200.0,,,400.0,,,270100.0,300.0,,,6700.0,,,524400.0,140000.0,118779700.0,2000.0,8163300.0,4416600.0,200.0,232200.0,7800.0,,,,,281700.0,4868700.0,24000.0,1327800.0,3918400.0,,60000.0,927000.0,3800.0,500.0,163200.0,10261800.0,,0.0,15800.0,22000.0,
2005,,10600.0,119000.0,319400.0,1000.0,,606300.0,,,170000.0,495300.0,54600.0,56500.0,1059800.0,1021900.0,,86300.0,1145200.0,0.0,7200.0,,,1400.0,,,154200.0,6600.0,,,5800.0,,,1130700.0,79800.0,96462700.0,,35879600.0,4597600.0,100.0,214800.0,60200.0,1900.0,,,1000.0,296700.0,254700.0,68800.0,1187800.0,61582400.0,0.0,97300.0,1306400.0,88900.0,3600.0,164600.0,4923100.0,,0.0,54200.0,115300.0,
2006,,3800.0,132000.0,264400.0,0.0,,469600.0,,200.0,334900.0,277200.0,22500.0,98800.0,796400.0,708000.0,0.0,143400.0,2634700.0,700.0,11300.0,1000.0,,400.0,,,252500.0,0.0,,1100.0,300.0,,,1072000.0,398100.0,150773300.0,,18780700.0,1264300.0,3000.0,239700.0,44800.0,400.0,,,300.0,61100.0,168400.0,32400.0,1701900.0,66507800.0,16000.0,77200.0,,8800.0,0.0,86600.0,8443100.0,15700.0,0.0,280400.0,12400.0,47200.0
2007,,1500.0,255500.0,422800.0,500.0,,484300.0,,1900.0,156600.0,243200.0,10400.0,99300.0,771600.0,2254600.0,,60400.0,1066300.0,39100.0,7500.0,0.0,100.0,4700.0,,,1447500.0,4300.0,,2300.0,2700.0,191700.0,,1032800.0,397100.0,207517600.0,2000.0,18290600.0,6397400.0,454800.0,426700.0,25700.0,8300.0,,,1917500.0,356300.0,7546500.0,13200.0,3389900.0,86401200.0,6200.0,92800.0,54400.0,18400.0,8800.0,154600.0,746600.0,,0.0,52200.0,336500.0,96700.0
2008,,8300.0,29900.0,403000.0,0.0,,557000.0,,7100.0,114300.0,95700.0,579200.0,82400.0,182200.0,2954700.0,88400.0,152400.0,1988400.0,0.0,9500.0,,19000.0,3400.0,,,697700.0,1400.0,,4000.0,17900.0,51600.0,,1392400.0,378700.0,232062300.0,1000.0,31876100.0,6758600.0,500.0,38100.0,15200.0,200.0,,,1706500.0,256300.0,5369000.0,14800.0,1609300.0,54493800.0,42800.0,2800.0,112400.0,500.0,1000.0,157100.0,2023700.0,,500.0,1200.0,100.0,40100.0
2009,,5700.0,16100.0,204600.0,24500.0,,621600.0,,6500.0,158200.0,266300.0,544200.0,99200.0,3800.0,1310600.0,16200.0,185200.0,1431800.0,200.0,7700.0,4900.0,16400.0,2800.0,,,1498400.0,3500.0,21800.0,2500.0,1000.0,419800.0,,1594600.0,464400.0,276461400.0,4800.0,47219800.0,7498300.0,1800.0,51400.0,74500.0,0.0,,,2509700.0,4400.0,58681100.0,14500.0,11602000.0,162427100.0,92500.0,48900.0,117700.0,800.0,6000.0,120500.0,2202300.0,100.0,0.0,383200.0,7800.0,129200.0
2010,,37035.0,9513.0,364962.0,79522.0,40100.0,1028460.0,,20545.0,74627.0,972471.0,429617.0,22127.0,21011.0,3433976.0,107205.0,61685.0,2112899.0,,9089.0,421.0,225.0,7131.0,,,2046387.0,8917.0,1498.0,6287.0,5376.0,93807.0,,1432952.0,387848.0,359777968.0,9732.0,49452484.0,4498170.0,2704.0,269417.0,90269.0,6.0,,147750.0,1836091.0,3844.0,277990887.0,102695.0,20232962.0,82029935.0,249543.0,70708.0,91800.0,5416.0,,160495.0,650917.0,,193.0,9045071.0,19923.0,1585.0
2011,,23854.0,2120.0,411795.0,104490.0,449700.0,810033.0,706040.0,32303.0,73178.0,363747.0,1054844.0,45972.0,57582.0,2721327.0,649045.0,36039.0,7319495.0,220.0,2244.0,5593.0,594.0,9287.0,,900.0,726598.0,5943.0,3070.0,12285.0,21411.0,345585.0,,2181553.0,1064095.0,374783466.0,15000.0,29987825.0,3545662.0,2949.0,144330.0,49027.0,189.0,,85500.0,876501.0,31374.0,34742134.0,181257.0,23194217.0,95976814.0,751639.0,148715.0,10.0,3457.0,,171798.0,43609797.0,,412.0,126330.0,13381.0,4157.0
