Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,21798430.0,71948869.0,-50150439.0
1,Beverages and tobacco,Ποτά και καπνός,691432.0,11015077.0,-10323645.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",184988960.0,26619014.0,158369946.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",14093100.0,3580880.0,10512220.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,795986.0,3560972.0,-2764986.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,83166551.0,364963206.0,-281796655.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",15023830.0,1340341452.0,-1325317622.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,47975824.0,3473794366.0,-3425818542.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,26056094.0,1647678162.0,-1621622068.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",9649.0,4842.0,4807.0
