party,total_ads_90days,total_spent_90days,total_ads_30days,total_spent_30days,total_ads_7days,total_spent_7days,latest_date
Αγγελούδης,122,10851.0,70,6550.0,35,2309.0,2023-10-06
Πέγκας,98,7141.0,43,3869.0,19,1887.0,2023-10-06
Ζέρβας,37,6225.0,16,5411.0,13,2171.0,2023-10-06
Καλόγηρος,20,1217.0,16,1135.0,15,686.0,2023-10-06
Τσαβλής,22,1103.0,13,811.0,10,518.0,2023-10-06
Κουριαννίδης,7,254.0,7,254.0,4,100.0,2023-10-06
