party,total_ads_90days,total_spent_90days,total_ads_30days,total_spent_30days,latest_date
Κασσελάκης,20,4961.0,10,2436.0,2023-09-14
Παππάς,63,4148.0,60,3884.0,2023-09-14
Αχτσιόγλου,8,1017.0,8,1017.0,2023-09-14
Τζουμάκας,3,100.0,3,100.0,2023-09-14
