"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","custom_audience_type","detailed_type","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"All",28,0.97178775362809,"gender",,,,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Women",1,0.028212246371905,"gender",,,,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Men",0,0,"gender",,,,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"English (UK)",3,0.14997065926377,"language",,,,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Greek",3,0.14997065926377,"language",,,,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"English (US)",3,0.14997065926377,"language",,,,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Políchni, Thessaloniki, Greece",1,0.022555690974338,"location","CITY",1,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Acharne, Greece",1,0.0068809668901077,"location","CITY",1,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Eleftheroúpoli, Kavala, Greece",1,0.0041189879702981,"location","CITY",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Greece",17,0.57779809059517,"location","countries",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Attica (region), Greece",5,0.23872074390051,"location","regions",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Chrysoúpoli, Kavala, Greece",1,0.0041189879702981,"location","CITY",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Alexándria, Imathia, Greece",1,0.022555690974338,"location","CITY",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Sérres, Greece",1,0.022555690974338,"location","CITY",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Stavroúpoli, Greece",1,0.022555690974338,"location","CITY",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Aigínio, Pieria, Greece",1,0.022555690974338,"location","CITY",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Polýkastro, Kilkis, Greece",1,0.022555690974338,"location","CITY",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
"Metamórfosi, Greece",1,0.022555690974338,"location","CITY",0,FALSE,,,"2023-03-11","EUR",29,"€3,545",TRUE,TRUE,"216089191899991"
