"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","custom_audience_type","detailed_type","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"All",193,0.98652268650343,"gender",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Women",9,0.013477313496569,"gender",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Men",0,0,"gender",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"English (UK)",187,0.91145040376569,"language",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Greek",193,0.94525418182326,"language",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"English (US)",188,0.92264799254525,"language",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Greece",196,0.94629726812157,"location","countries",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"�No Síros, Kikladhes, Greece",2,0.016461907146862,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Syros, Kikladhes, Greece",3,0.0074826850667555,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Kastoriá, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Athens, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Patras, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Grevená, Grevena, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Attica (region), Greece",2,0.016461907146862,"location","regions",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Mándra, Greece",2,0.0074028697593768,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Thessaloníki, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Kozáni, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Pýrgos, Ilia, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Lamía, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Piraeus, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Crete, Greece",1,0.029758139664816,"location","regions",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Trikala, Greece",1,0.029758139664816,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Asprópirgos, Greece",1,7.9815307378726e-05,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"Elefsína, Attiki, Greece",1,7.9815307378726e-05,"location","CITY",0,FALSE,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"13",0,0,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"14",0,0,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"15",0,0,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"16",0,0,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"17",0,0,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"18",152,0.78356932059215,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"19",152,0.78356932059215,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"20",153,0.79604046237008,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"21",153,0.79604046237008,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"22",153,0.79604046237008,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"23",153,0.79604046237008,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"24",153,0.79604046237008,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"25",181,0.91794487555796,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"26",181,0.91794487555796,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"27",181,0.91794487555796,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"28",181,0.91794487555796,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"29",181,0.91794487555796,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"30",182,0.91845569352518,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"31",182,0.91845569352518,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"32",182,0.91845569352518,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"33",182,0.91845569352518,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"34",182,0.91845569352518,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"35",181,0.88672162615707,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"36",170,0.84615599502751,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"37",170,0.84615599502751,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"38",170,0.84615599502751,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"39",170,0.84615599502751,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"40",170,0.84615599502751,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"41",163,0.83205013598533,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"42",163,0.83205013598533,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"43",163,0.83205013598533,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
"44",163,0.83205013598533,"age",,,,,,"2023-03-11","EUR",202,"€20,046",TRUE,TRUE,"82362291274"
