party,total_ads_90days,total_spent_90days,total_ads_30days,total_spent_30days,latest_date
Μητσοτάκης,18,31641.0,,,2023-09-14
Ανδρουλάκης,56,22585.0,1.0,500.0,2023-09-14
Τσίπρας,76,15967.0,,,2023-09-14
