"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","custom_audience_type","detailed_type","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"53",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"54",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"55",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"56",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"57",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"58",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"59",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"60",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"61",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"62",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"63",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"64",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"65+",18,0.95916797952955,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Custom audience",5,0.40675157458479,"custom_audience",,,FALSE,"HAS_CA_INCLUSION",,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Custom audience",2,0.0042159061135743,"custom_audience",,,TRUE,"HAS_CA_EXCLUSION",,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Customer list custom audience",0,0,"custom_audience",,,FALSE,"HAS_DFCA_INCLUSION",,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Customer list custom audience",0,0,"custom_audience",,,TRUE,"HAS_DFCA_EXCLUSION",,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Lookalike audience",5,0.40675157458479,"lookalike_audience",,,FALSE,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Lookalike audience",2,0.0042159061135743,"lookalike_audience",,,TRUE,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Independence",2,0.0042159061135743,"detailed",,,FALSE,,"INTERESTS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Entrepreneurship",1,0.0068053367450755,"detailed",,,FALSE,,"INTERESTS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Business decision maker titles and interests",1,0.0068053367450755,"detailed",,,FALSE,,"DEMOGRAPHICS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"National flag",2,0.0042159061135743,"detailed",,,FALSE,,"INTERESTS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Small business owners",1,0.0068053367450755,"detailed",,,FALSE,,"BEHAVIORS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Greece",2,0.0042159061135743,"detailed",,,FALSE,,"INTERESTS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Business Decision Makers",1,0.0068053367450755,"detailed",,,FALSE,,"DEMOGRAPHICS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Investment",1,0.034026683725377,"detailed",,,FALSE,,"INTERESTS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Parents with adult children (18-26 years) ",1,0.064650699078217,"detailed",,,FALSE,,"DEMOGRAPHICS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Finance",1,0.034026683725377,"detailed",,,FALSE,,"INTERESTS","2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
