Country,Household_NPI_Savings_Rate_2024,Country_Code,Country_En
Αυστρία,17.34,AT,Austria
Βέλγιο,12.92,BE,Belgium
Βουλγαρία,,BG,Bulgaria
Κύπρος,5.57,CY,Cyprus
Τσεχία,19.86,CZ,Czech Republic
Γερμανία,20.04,DE,Germany
Δανία,14.29,DK,Denmark
Εσθονία,7.3,EE,Estonia
Ελλάδα,-2.51,EL,Greece
Ισπανία,12.74,ES,Spain
E.E.,14.47,EU27_2020,E.U.
Φινλανδία,12.44,FI,Finland
Γαλλία,17.93,FR,France
Κροατία,9.04,HR,Croatia
Ουγγαρία,18.64,HU,Hungary
Ιρλανδία,13.49,IE,Ireland
Ιταλια,11.97,IT,Italy
Λιθουανία,7.63,LT,Lithuania
Λουξεμβούργο,12.17,LU,Luxembourg
Λετονία,4.94,LV,Latvia
Μάλτα,18.82,MT,Malta
Ολλανδία,16.61,NL,Netherlands
Πολωνία,7.77,PL,Poland
Πορτογαλία,12.53,PT,Portugal
Ρουμανία,-0.92,RO,Romania
Σουηδία,18.17,SE,Sweden
Σλοβενία,13.31,SI,Slovenia
Σλοβακία,8.06,SK,Slovakia
