year,month,origin,arrivals
2003,05,NAT,462654.0
2003,06,FOR,955931.0
2003,06,NAT,550002.0
2003,07,FOR,1121812.0
2003,07,NAT,652368.0
2003,08,FOR,1230377.0
2003,08,NAT,777897.0
2003,09,FOR,996237.0
2003,09,NAT,510399.0
2003,10,FOR,568745.0
2003,10,NAT,414326.0
2003,11,FOR,141016.0
2003,11,NAT,376331.0
2003,12,FOR,113671.0
2003,12,NAT,333006.0
2004,01,FOR,89982.0
2004,01,NAT,305058.0
2004,02,FOR,108722.0
2004,02,NAT,332590.0
2004,03,FOR,176008.0
2004,03,NAT,443823.0
2004,04,FOR,419535.0
2004,04,NAT,446981.0
2004,05,FOR,828176.0
2004,05,NAT,509494.0
2004,06,FOR,909887.0
2004,06,NAT,541285.0
2004,07,FOR,1054027.0
2004,07,NAT,719763.0
2004,08,FOR,1097630.0
2004,08,NAT,704037.0
2004,09,FOR,981075.0
2004,09,NAT,521566.0
2004,10,FOR,549990.0
2004,10,NAT,444539.0
2004,11,FOR,146035.0
2004,11,NAT,372290.0
2004,12,FOR,99995.0
2004,12,NAT,329095.0
2005,01,FOR,96964.0
2005,01,NAT,344575.0
2005,02,FOR,118908.0
2005,02,NAT,332578.0
2005,03,FOR,221743.0
2005,03,NAT,441112.0
2005,04,FOR,386885.0
2005,04,NAT,512050.0
2005,05,FOR,919083.0
2005,05,NAT,478800.0
2005,06,FOR,1060025.0
2005,06,NAT,576799.0
2005,07,FOR,1265202.0
2005,07,NAT,780963.0
2005,08,FOR,1332103.0
2005,08,NAT,826278.0
2005,09,FOR,1127930.0
2005,09,NAT,553394.0
2005,10,FOR,591676.0
2005,10,NAT,466197.0
2005,11,FOR,139454.0
2005,11,NAT,387459.0
2005,12,FOR,88733.0
2005,12,NAT,363685.0
2006,01,FOR,98284.0
2006,01,NAT,368685.0
2006,02,FOR,111079.0
2006,02,NAT,377017.0
2006,03,FOR,198938.0
2006,03,NAT,473588.0
2006,04,FOR,443973.0
2006,04,NAT,559620.0
2006,05,FOR,926680.0
2006,05,NAT,485886.0
2006,06,FOR,1116195.0
2006,06,NAT,575332.0
2006,07,FOR,1337607.0
2006,07,NAT,749609.0
2006,08,FOR,1375199.0
2006,08,NAT,801683.0
2006,09,FOR,1204741.0
2006,09,NAT,590228.0
2006,10,FOR,659134.0
2006,10,NAT,411749.0
2006,11,FOR,165835.0
2006,11,NAT,424992.0
2006,12,FOR,110543.0
2006,12,NAT,415424.0
2007,01,FOR,115620.0
2007,01,NAT,406559.0
2007,02,FOR,129847.0
2007,02,NAT,412254.0
2007,03,FOR,234170.0
2007,03,NAT,510429.0
2007,04,FOR,492950.0
2007,04,NAT,575220.0
2007,05,FOR,1141568.0
2007,05,NAT,584373.0
2007,06,FOR,1361954.0
2007,06,NAT,703628.0
2007,07,FOR,1548547.0
2007,07,NAT,885419.0
2007,08,FOR,1617473.0
2007,08,NAT,954820.0
2007,09,FOR,1349361.0
2007,09,NAT,607571.0
2007,10,FOR,646187.0
2007,10,NAT,497046.0
2007,11,FOR,184853.0
2007,11,NAT,487258.0
2007,12,FOR,131227.0
2007,12,NAT,459258.0
2008,01,FOR,124033.0
2008,01,NAT,412648.0
2008,02,FOR,140882.0
2008,02,NAT,427046.0
2008,03,FOR,251559.0
2008,03,NAT,518534.0
2008,04,FOR,453520.0
2008,04,NAT,572571.0
2008,05,FOR,1124670.0
2008,05,NAT,582461.0
2008,06,FOR,1360730.0
2008,06,NAT,698391.0
2008,07,FOR,1560417.0
2008,07,NAT,868423.0
2008,08,FOR,1629729.0
2008,08,NAT,1006089.0
2008,09,FOR,1340611.0
2008,09,NAT,634603.0
2008,10,FOR,628774.0
2008,10,NAT,533198.0
2008,11,FOR,162852.0
2008,11,NAT,447385.0
2008,12,FOR,108565.0
2008,12,NAT,425878.0
2009,01,FOR,109343.0
2009,01,NAT,470721.0
2009,02,FOR,121776.0
2009,02,NAT,493186.0
2009,03,FOR,223937.0
2009,03,NAT,538359.0
2009,04,FOR,498435.0
2009,04,NAT,644394.0
2009,05,FOR,1208382.0
2009,05,NAT,694723.0
2009,06,FOR,1607488.0
2009,06,NAT,928691.0
2009,07,FOR,1994896.0
2009,07,NAT,1603883.0
2009,08,FOR,2132679.0
2009,08,NAT,1861428.0
2009,09,FOR,1577845.0
2009,09,NAT,872268.0
2009,10,FOR,668682.0
2009,10,NAT,582295.0
2009,11,FOR,173378.0
2009,11,NAT,500008.0
2009,12,FOR,117209.0
2009,12,NAT,526859.0
2010,01,FOR,115798.0
2010,01,NAT,484843.0
2010,02,FOR,129930.0
2010,02,NAT,467752.0
2010,03,FOR,246159.0
2010,03,NAT,495323.0
2010,04,FOR,468676.0
2010,04,NAT,645174.0
2010,05,FOR,1247991.0
2010,05,NAT,636520.0
2010,06,FOR,1642404.0
2010,06,NAT,778271.0
2010,07,FOR,2149889.0
2010,07,NAT,1502897.0
2010,08,FOR,2206209.0
2010,08,NAT,1790298.0
2010,09,FOR,1638443.0
2010,09,NAT,840862.0
2010,10,FOR,695197.0
2010,10,NAT,528079.0
2010,11,FOR,168970.0
2010,11,NAT,393610.0
2010,12,FOR,119641.0
2010,12,NAT,463960.0
2011,01,DOM,453310.0
2011,01,FOR,119085.0
2011,02,DOM,404477.0
2011,02,FOR,140666.0
2011,03,DOM,523062.0
2011,03,FOR,221758.0
2011,04,DOM,580076.0
2011,04,FOR,578386.0
2011,05,DOM,539190.0
2011,05,FOR,1376573.0
2011,06,DOM,814652.0
2011,06,FOR,1944661.0
2011,07,DOM,1346573.0
2011,07,FOR,2425313.0
2011,08,DOM,1594822.0
2011,08,FOR,2470032.0
2011,09,DOM,778823.0
2011,09,FOR,1825365.0
2011,10,DOM,448014.0
2011,10,FOR,725221.0
2011,11,DOM,352868.0
2011,11,FOR,144575.0
2011,12,DOM,395791.0
2011,12,FOR,112305.0
2012,01,DOM,382011.0
2012,01,FOR,111713.0
2012,02,DOM,344218.0
2012,02,FOR,106805.0
2012,03,DOM,443373.0
2012,03,FOR,180056.0
2012,04,DOM,451446.0
2012,04,FOR,480554.0
2012,05,DOM,422500.0
2012,05,FOR,1181841.0
2012,06,DOM,677260.0
2012,06,FOR,1787854.0
2012,07,DOM,1121466.0
2012,07,FOR,2300566.0
2012,08,DOM,1370224.0
2012,08,FOR,2427808.0
2012,09,DOM,652993.0
2012,09,FOR,1733648.0
2012,10,DOM,399877.0
2012,10,FOR,666031.0
2012,11,DOM,336177.0
2012,11,FOR,144231.0
2012,12,DOM,379961.0
2012,12,FOR,109409.0
2013,01,DOM,363344.0
2013,01,FOR,103792.0
2013,02,DOM,359561.0
2013,02,FOR,109863.0
2013,03,DOM,462552.0
2013,03,FOR,208323.0
2013,04,DOM,456972.0
2013,04,FOR,459213.0
2013,05,DOM,526904.0
2013,05,FOR,1409319.0
2013,06,DOM,735768.0
2013,06,FOR,2084951.0
2013,07,DOM,1120422.0
2013,07,FOR,2549519.0
2013,08,DOM,1451742.0
2013,08,FOR,2715537.0
2013,09,DOM,664863.0
2013,09,FOR,2000389.0
2013,10,DOM,458993.0
2013,10,FOR,804286.0
2013,11,DOM,368583.0
2013,11,FOR,178431.0
2013,12,DOM,396156.0
2013,12,FOR,125772.0
2014,01,DOM,415276.0
2014,01,FOR,139557.0
2014,02,DOM,394173.0
2014,02,FOR,147384.0
2014,03,DOM,482069.0
2014,03,FOR,232157.0
2014,04,DOM,521112.0
2014,04,FOR,689837.0
2014,05,DOM,509941.0
2014,05,FOR,1870438.0
2014,06,DOM,702051.0
2014,06,FOR,2444684.0
2014,07,DOM,1007509.0
2014,07,FOR,2932123.0
2014,08,DOM,1410987.0
2014,08,FOR,3046750.0
2014,09,DOM,668358.0
2014,09,FOR,2316053.0
2014,10,DOM,474478.0
2014,10,FOR,1071701.0
2014,11,DOM,379921.0
2014,11,FOR,217492.0
2014,12,DOM,448934.0
2014,12,FOR,151066.0
2015,01,DOM,404573.0
2015,01,FOR,159531.0
2015,02,DOM,426792.0
2015,02,FOR,169816.0
2015,03,DOM,491983.0
2015,03,FOR,267689.0
2015,04,DOM,564575.0
2015,04,FOR,759036.0
2015,05,DOM,645139.0
2015,05,FOR,1918366.0
2015,06,DOM,694386.0
2015,06,FOR,2635786.0
2015,07,DOM,924290.0
2015,07,FOR,3254705.0
2015,08,DOM,1419018.0
2015,08,FOR,3303041.0
2015,09,DOM,699128.0
2015,09,FOR,2530490.0
2015,10,DOM,502165.0
2015,10,FOR,1103357.0
2015,11,DOM,402805.0
2015,11,FOR,234698.0
2015,12,DOM,490411.0
2015,12,FOR,165194.0
2016,01,DOM,426313.0
2016,01,FOR,161882.0
2016,02,DOM,382894.0
2016,02,FOR,176236.0
2016,03,DOM,523259.0
2016,03,FOR,307963.0
2016,04,DOM,607294.0
2016,04,FOR,724717.0
2016,05,DOM,561389.0
2016,05,FOR,1859445.0
2016,06,DOM,775891.0
2016,06,FOR,2587879.0
2016,07,DOM,1161317.0
2016,07,FOR,3314414.0
2016,08,DOM,1464378.0
2016,08,FOR,3372862.0
2016,09,DOM,740357.0
2016,09,FOR,2672163.0
2016,10,DOM,532091.0
2016,10,FOR,1305318.0
2016,11,DOM,426117.0
2016,11,FOR,251313.0
2016,12,DOM,478742.0
2016,12,FOR,181804.0
2017,01,DOM,419670.0
2017,01,FOR,177406.0
2017,02,DOM,443110.0
2017,02,FOR,193755.0
2017,03,DOM,529099.0
2017,03,FOR,304829.0
2017,04,DOM,631113.0
2017,04,FOR,909686.0
2017,05,DOM,571969.0
2017,05,FOR,2124653.0
2017,06,DOM,765454.0
2017,06,FOR,3064817.0
2017,07,DOM,1132427.0
2017,07,FOR,3684017.0
2017,08,DOM,1423831.0
2017,08,FOR,3696384.0
2017,09,DOM,769975.0
2017,09,FOR,2942368.0
2017,10,DOM,514953.0
2017,10,FOR,1471423.0
2017,11,DOM,428979.0
2017,11,FOR,297143.0
2017,12,DOM,511991.0
2017,12,FOR,202216.0
2018,01,DOM,516983.0
2018,01,FOR,224096.0
2018,02,DOM,527393.0
2018,02,FOR,250129.0
2018,03,DOM,613470.0
2018,03,FOR,492402.0
2018,04,DOM,746763.0
2018,04,FOR,1233158.0
2018,05,DOM,745476.0
2018,05,FOR,2889087.0
2018,06,DOM,829325.0
2018,06,FOR,3844675.0
2018,07,DOM,1187107.0
2018,07,FOR,4585981.0
2018,08,DOM,1483978.0
2018,08,FOR,4610960.0
2018,09,DOM,856328.0
2018,09,FOR,3715694.0
2018,10,DOM,583293.0
2018,10,FOR,1857506.0
2018,11,DOM,529964.0
2018,11,FOR,383580.0
2018,12,DOM,644666.0
2018,12,FOR,233625.0
2019,01,DOM,483110.0
2019,01,FOR,222539.0
2019,02,DOM,482649.0
2019,02,FOR,259189.0
2019,03,DOM,650843.0
2019,03,FOR,455035.0
2019,04,DOM,747356.0
2019,04,FOR,1334623.0
2019,05,DOM,655625.0
2019,05,FOR,2839883.0
2019,06,DOM,899029.0
2019,06,FOR,3992991.0
2019,07,DOM,1147533.0
2019,07,FOR,4655445.0
2019,08,DOM,1525011.0
2019,08,FOR,4896339.0
2019,09,DOM,813714.0
2019,09,FOR,3843912.0
2019,10,DOM,633427.0
2019,10,FOR,1900400.0
2019,11,DOM,524746.0
2019,11,FOR,389409.0
2019,12,DOM,600512.0
2019,12,FOR,248733.0
2020,01,DOM,528321.0
2020,01,FOR,283523.0
2020,02,DOM,547647.0
2020,02,FOR,310807.0
2020,04,DOM,12414.0
2020,04,FOR,3706.0
2020,05,DOM,28040.0
2020,05,FOR,4927.0
2020,06,DOM,299839.0
2020,06,FOR,76799.0
2020,07,DOM,797766.0
2020,07,FOR,929741.0
2020,08,DOM,1173305.0
2020,08,FOR,1612775.0
2020,09,DOM,488660.0
2020,09,FOR,1215483.0
2020,10,DOM,350527.0
2020,10,FOR,866448.0
2020,11,DOM,107960.0
2020,11,FOR,59480.0
2021,01,DOM,118523.0
2021,01,FOR,28068.0
2021,02,DOM,139543.0
2021,02,FOR,29503.0
2021,03,DOM,164374.0
2021,03,FOR,43425.0
2021,04,DOM,143297.0
2021,04,FOR,49981.0
2021,05,DOM,251460.0
2021,05,FOR,353687.0
2021,06,DOM,651956.0
2021,06,FOR,1269491.0
2021,07,DOM,951622.0
2021,07,FOR,2813658.0
2021,08,DOM,1245797.0
2021,08,FOR,3192598.0
2021,09,DOM,685794.0
2021,09,FOR,2681554.0
2021,10,DOM,508596.0
2021,10,FOR,1522679.0
2021,11,DOM,391726.0
2021,11,FOR,253402.0
2021,12,DOM,399868.0
2021,12,FOR,124745.0
2022,01,DOM,246623.0
2022,01,FOR,79489.0
2022,02,DOM,296020.0
2022,02,FOR,106128.0
2022,03,DOM,366826.0
2022,03,FOR,209427.0
2022,04,DOM,623325.0
2022,04,FOR,1156519.0
2022,05,DOM,631759.0
2022,05,FOR,2705545.0
2022,06,DOM,839023.0
2022,06,FOR,3785932.0
2022,07,DOM,1177245.0
2022,07,FOR,4911023.0
2022,08,DOM,1532392.0
2022,08,FOR,5003056.0
2022,09,DOM,809641.0
2022,09,FOR,3876100.0
