"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","detailed_type","total_num_ads","total_spend_formatted","custom_audience_type"
"Αχτσιόγλου","All",13,0.8462938907921,"gender",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","Women",1,0.073220307042045,"gender",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","Men",1,0.080485802165851,"gender",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","Vólos, Greece",1,0.049243163569549,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Ioánnina, Greece",1,0.054045322690286,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Xánthi, Greece",1,0.069387329299565,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Alexandroúpoli, Greece",1,0.069387329299565,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Sérres, Greece",1,0.069387329299565,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Dráma, Greece",1,0.069387329299565,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Thessaloníki, Greece",1,0.069387329299565,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Komotini, Greece",1,0.069387329299565,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Greece",8,0.63710214767901,"location","countries",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Patras, Greece",1,0.058241743449613,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Kaballa, Kavala, Greece",1,0.069387329299565,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Attica (region), Greece",1,0.044787621400063,"location","regions",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Thessaly, Greece",1,0.052891054590487,"location","regions",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Lárisa, Greece",1,0.049243163569549,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","Kalamáta, Greece",1,0.034301617321425,"location","CITY",FALSE,NA,15,"€2,972",NA
"Αχτσιόγλου","13",0,0,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","14",0,0,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","15",0,0,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","16",0,0,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","17",0,0,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","18",14,0.91951419783415,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","19",14,0.91951419783415,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","20",14,0.91951419783415,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","21",14,0.91951419783415,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","22",14,0.91951419783415,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","23",14,0.91951419783415,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","24",14,0.91951419783415,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","25",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","26",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","27",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","28",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","29",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","30",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","31",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","32",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","33",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","34",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","35",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","36",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","37",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","38",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","39",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","40",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","41",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","42",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","43",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","44",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","45",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","46",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","47",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","48",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","49",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","50",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","51",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","52",15,1,"age",NA,NA,NA,15,"€2,972",NA
"Αχτσιόγλου","53",15,1,"age",NA,NA,NA,15,"€2,972",NA
