date,Greece,EU_Total,EU_Median
2011,4.21,11.77,12.15
2012,4.43,11.74,12.39
2013,4.77,12.24,12.24
2014,4.99,11.82,12.13
2015,4.69,11.39,12.33
2016,4.29,10.75,11.3
2017,4.52,10.49,11.22
2018,4.93,10.5,10.7
2019,4.63,10.19,11.22
2020,4.03,10.26,10.49
2021,4.15,10.24,10.57
2022,4.56,10.58,11.21
