Country,SuicideRate_2022,Country_Code,Country_En
Αυστρία,13.7,AT,Austria
Βέλγιο,15.4,BE,Belgium
Βουλγαρία,6.35,BG,Bulgaria
Κύπρος,4.12,CY,Cyprus
Τσεχία,12.29,CZ,Czech Republic
Γερμανία,11.21,DE,Germany
Δανία,9.76,DK,Denmark
Εσθονία,14.48,EE,Estonia
Ελλάδα,4.56,EL,Greece
Ισπανία,8.27,ES,Spain
E.E.,10.58,EU27_2020,E.U.
Φινλανδία,13.37,FI,Finland
Γαλλία,13.58,FR,France
Κροατία,13.71,HR,Croatia
Ουγγαρία,16.67,HU,Hungary
Ιρλανδία,8.75,IE,Ireland
Ιταλια,5.93,IT,Italy
Λιθουανία,18.19,LT,Lithuania
Λουξεμβούργο,8.13,LU,Luxembourg
Λετονία,12.09,LV,Latvia
Μάλτα,5.21,MT,Malta
Ολλανδία,10.78,NL,Netherlands
Πολωνία,12.03,PL,Poland
Πορτογαλία,8.83,PT,Portugal
Ρουμανία,8.93,RO,Romania
Σουηδία,12.47,SE,Sweden
Σλοβενία,18.29,SI,Slovenia
Σλοβακία,7.42,SK,Slovakia
