date,cases,deaths,stringencyIndex,icu,week,cases_7d_avg,deaths_7d_avg,icu_7d_avg
2020-06-22,21.0,0.0,,8.0,2020-06-22,21.857142857142858,0.8571428571428571,10.0
2020-06-23,15.0,0.0,,8.0,2020-06-22,22.0,0.7142857142857143,9.428571428571429
2020-06-24,8.0,0.0,,8.0,2020-06-22,15.285714285714286,0.42857142857142855,9.0
2020-06-25,11.0,1.0,,9.0,2020-06-22,13.428571428571429,0.42857142857142855,8.857142857142858
2020-06-26,22.0,0.0,,11.0,2020-06-22,15.142857142857142,0.2857142857142857,9.0
2020-06-27,23.0,0.0,,11.0,2020-06-22,15.714285714285714,0.14285714285714285,9.142857142857142
2020-06-28,10.0,0.0,,10.0,2020-06-22,15.714285714285714,0.14285714285714285,9.285714285714286
2020-06-29,14.0,0.0,,11.0,2020-06-29,14.714285714285714,0.14285714285714285,9.714285714285714
2020-06-30,19.0,1.0,,9.0,2020-06-29,15.285714285714286,0.2857142857142857,9.857142857142858
2020-07-01,23.0,0.0,,9.0,2020-06-29,17.428571428571427,0.2857142857142857,10.0
2020-07-02,26.0,0.0,,8.0,2020-06-29,19.571428571428573,0.14285714285714285,9.857142857142858
2020-07-03,28.0,0.0,,8.0,2020-06-29,20.428571428571427,0.14285714285714285,9.428571428571429
2020-07-04,25.0,0.0,,11.0,2020-06-29,20.714285714285715,0.14285714285714285,9.428571428571429
2020-07-05,8.0,0.0,,11.0,2020-06-29,20.428571428571427,0.14285714285714285,9.571428571428571
2020-07-06,43.0,0.0,,11.0,2020-07-06,24.571428571428573,0.14285714285714285,9.571428571428571
2020-07-07,27.0,1.0,,10.0,2020-07-06,25.714285714285715,0.14285714285714285,9.714285714285714
2020-07-08,33.0,0.0,,9.0,2020-07-06,27.142857142857142,0.14285714285714285,9.714285714285714
2020-07-09,50.0,0.0,,9.0,2020-07-06,30.571428571428573,0.14285714285714285,9.857142857142858
2020-07-10,60.0,0.0,,9.0,2020-07-06,35.142857142857146,0.14285714285714285,10.0
2020-07-11,40.0,0.0,,9.0,2020-07-06,37.285714285714285,0.14285714285714285,9.714285714285714
