Country,Corruption_Perception_Index_2023
Αυστρία,71.0
Βέλγιο,73.0
Βουλγαρία,45.0
Κύπρος,53.0
Τσεχία,57.0
Γερμανία,78.0
Δανία,90.0
Εσθονία,76.0
Ελλάδα,49.0
Ισπανία,60.0
E.E.,64.0
Φινλανδία,87.0
Γαλλία,71.0
Κροατία,50.0
Ουγγαρία,42.0
Ιρλανδία,77.0
Ιταλια,56.0
Λιθουανία,61.0
Λουξεμβούργο,78.0
Λετονία,60.0
Μάλτα,51.0
Ολλανδία,79.0
Πολωνία,54.0
Πορτογαλία,61.0
Ρουμανία,46.0
Σουηδία,82.0
Σλοβενία,56.0
Σλοβακία,54.0
