Country,Corruption_Perception_Index_2021
Αυστρία,74.0
Βέλγιο,73.0
Βουλγαρία,42.0
Κύπρος,53.0
Τσεχία,54.0
Γερμανία,80.0
Δανία,88.0
Εσθονία,74.0
Ελλάδα,49.0
Ισπανία,61.0
E.E.,64.0
Φινλανδία,88.0
Γαλλία,71.0
Κροατία,47.0
Ουγγαρία,43.0
Ιρλανδία,74.0
Ιταλια,56.0
Λιθουανία,61.0
Λουξεμβούργο,81.0
Λετονία,59.0
Μάλτα,54.0
Ολλανδία,82.0
Πολωνία,56.0
Πορτογαλία,62.0
Ρουμανία,45.0
Σουηδία,85.0
Σλοβενία,57.0
Σλοβακία,52.0
