Country,Corruption_Perception_Index_2022
Αυστρία,71.0
Βέλγιο,73.0
Βουλγαρία,43.0
Κύπρος,52.0
Τσεχία,56.0
Γερμανία,79.0
Δανία,90.0
Εσθονία,74.0
Ελλάδα,52.0
Ισπανία,60.0
E.E.,64.0
Φινλανδία,87.0
Γαλλία,72.0
Κροατία,50.0
Ουγγαρία,42.0
Ιρλανδία,77.0
Ιταλια,56.0
Λιθουανία,62.0
Λουξεμβούργο,77.0
Λετονία,59.0
Μάλτα,51.0
Ολλανδία,80.0
Πολωνία,55.0
Πορτογαλία,62.0
Ρουμανία,46.0
Σουηδία,83.0
Σλοβενία,56.0
Σλοβακία,53.0
