Country,Corruption_Perception_Index_2023,Corruption_Perception_Index_2024,Change
Αυστρία,71.0,67.0,-4.0
Βέλγιο,73.0,69.0,-4.0
Βουλγαρία,45.0,43.0,-2.0
Κύπρος,53.0,56.0,3.0
Τσεχία,57.0,56.0,-1.0
Γερμανία,78.0,75.0,-3.0
Δανία,90.0,90.0,0.0
Εσθονία,76.0,76.0,0.0
Ελλάδα,49.0,49.0,0.0
Ισπανία,60.0,56.0,-4.0
E.E.,64.0,62.0,-2.0
Φινλανδία,87.0,88.0,1.0
Γαλλία,71.0,67.0,-4.0
Κροατία,50.0,47.0,-3.0
Ουγγαρία,42.0,41.0,-1.0
Ιρλανδία,77.0,77.0,0.0
Ιταλια,56.0,54.0,-2.0
Λιθουανία,61.0,63.0,2.0
Λουξεμβούργο,78.0,81.0,3.0
Λετονία,60.0,59.0,-1.0
Μάλτα,51.0,46.0,-5.0
Ολλανδία,79.0,78.0,-1.0
Πολωνία,54.0,53.0,-1.0
Πορτογαλία,61.0,57.0,-4.0
Ρουμανία,46.0,46.0,0.0
Σουηδία,82.0,80.0,-2.0
Σλοβενία,56.0,60.0,4.0
Σλοβακία,54.0,49.0,-5.0
