"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","detailed_type","total_num_ads","total_spend_formatted","custom_audience_type"
"Αχτσιόγλου","62",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","63",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","64",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","65+",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","Lookalike audience",1,0.064457110221592,"lookalike_audience",NA,FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Lookalike audience",0,0,"lookalike_audience",NA,TRUE,NA,20,"€6,023",NA
"Αχτσιόγλου","Social movement",12,0.55309194568363,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Solidarity",19,0.93554288977841,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Activism",6,0.23002110163484,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Animal rights",14,0.62807330950337,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Human rights",11,0.52757739618112,"detailed",NA,FALSE,"DEMOGRAPHICS",20,"€6,023",NA
"Αχτσιόγλου","Social change",10,0.50030631405409,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Animal rights movement",2,0.099539615787543,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Social Work",3,0.12694849773294,"detailed",NA,FALSE,"DEMOGRAPHICS",20,"€6,023",NA
"Αχτσιόγλου","Community issues",5,0.27686971940304,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Women's studies",13,0.58704382864344,"detailed",NA,FALSE,"DEMOGRAPHICS",20,"€6,023",NA
"Αχτσιόγλου","Community and Social Services",2,0.074710744899331,"detailed",NA,FALSE,"DEMOGRAPHICS",20,"€6,023",NA
"Αχτσιόγλου","Animal rescue group",1,0.053492893347921,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Human rights",19,0.93554288977841,"detailed",NA,FALSE,"DEMOGRAPHICS",20,"€6,023",NA
"Αχτσιόγλου","Gender studies",5,0.21256369091003,"detailed",NA,FALSE,"DEMOGRAPHICS",20,"€6,023",NA
"Αχτσιόγλου","Social Work",1,0.080287486946373,"detailed",NA,FALSE,"DEMOGRAPHICS",20,"€6,023",NA
"Αχτσιόγλου","Science",1,0.063978961454236,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Animal Equality",1,0.034232463312874,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Wage",1,0.062258954082776,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Philanthropy",1,0.046046722439621,"detailed",NA,FALSE,"INTERESTS",20,"€6,023",NA
"Αχτσιόγλου","Salaryman",1,0.062258954082776,"detailed",NA,FALSE,"DEMOGRAPHICS",20,"€6,023",NA
"Κασσελάκης","All",34,1,"gender",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","Women",0,0,"gender",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","Men",0,0,"gender",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","Greece",28,0.93758452029024,"location","countries",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Kárpathos, Dhodhekanisos, Greece",1,0.0048793335124966,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Ionian Islands (region), Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Sími, Dhodhekanisos, Greece",1,0.0048793335124966,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Astipálaia, Dhodhekanisos, Greece",1,0.0048793335124966,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Attica (region), Greece",2,0.035563558183284,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Ágios Nikólaos, Lasithi, Greece",1,0.0058478903520559,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Pátmos, Dhodhekanisos, Greece",1,0.0048793335124966,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Peloponnese (region), Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Rhodes, Greece",2,0.015629131953776,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Chaniá, Greece",2,0.011222789572696,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Kántanos, Khania, Greece",1,0.0058478903520559,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Central Macedonia, Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Eastern Macedonia and Thrace, Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Khálki, Dhodhekanisos, Greece",1,0.0048793335124966,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Western Macedonia, Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Central Greece (region), Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Kos, Dhodhekanisos, Greece",1,0.0048793335124966,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Lero, Dhodhekanisos, Greece",1,0.0048793335124966,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Western Greece, Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Northern Aegean, Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Réthimnon, Greece",1,0.0058478903520559,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Kálimnos, Dhodhekanisos, Greece",1,0.0048793335124966,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Epirus (region), Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Southern Aegean, Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Seteia, Lasithi, Greece",1,0.0058478903520559,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Crete, Greece",1,0.0033141628594464,"location","regions",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Hierapetra, Lasithi, Greece",1,0.0058478903520559,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","Heraklion, Greece",1,0.0058478903520559,"location","CITY",FALSE,NA,34,"€9,303",NA
"Κασσελάκης","13",0,0,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","14",0,0,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","15",0,0,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","16",0,0,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","17",0,0,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","18",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","19",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","20",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","21",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","22",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","23",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","24",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","25",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","26",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","27",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","28",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","29",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","30",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","31",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","32",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","33",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","34",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","35",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","36",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","37",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","38",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","39",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","40",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","41",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","42",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","43",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","44",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","45",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","46",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","47",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","48",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","49",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","50",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","51",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","52",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","53",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","54",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","55",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","56",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","57",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","58",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","59",34,1,"age",NA,NA,NA,34,"€9,303",NA
"Κασσελάκης","60",34,1,"age",NA,NA,NA,34,"€9,303",NA
