"","party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","detailed_type","total_num_ads","total_spend_formatted"
"64","Μητσοτάκης","64",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"65","Μητσοτάκης","65+",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"66","Μητσοτάκης","Custom audience",5,0.40675157458479,"custom_audience",NA,FALSE,"HAS_CA_INCLUSION",NA,20,"€2,939"
"67","Μητσοτάκης","Custom audience",2,0.0042159061135743,"custom_audience",NA,TRUE,"HAS_CA_EXCLUSION",NA,20,"€2,939"
"68","Μητσοτάκης","Customer list custom audience",0,0,"custom_audience",NA,FALSE,"HAS_DFCA_INCLUSION",NA,20,"€2,939"
"69","Μητσοτάκης","Customer list custom audience",0,0,"custom_audience",NA,TRUE,"HAS_DFCA_EXCLUSION",NA,20,"€2,939"
"70","Μητσοτάκης","Lookalike audience",5,0.40675157458479,"lookalike_audience",NA,FALSE,NA,NA,20,"€2,939"
"71","Μητσοτάκης","Lookalike audience",2,0.0042159061135743,"lookalike_audience",NA,TRUE,NA,NA,20,"€2,939"
"72","Μητσοτάκης","Independence",2,0.0042159061135743,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"73","Μητσοτάκης","Entrepreneurship",1,0.0068053367450755,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"74","Μητσοτάκης","Finance",1,0.034026683725377,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"75","Μητσοτάκης","Greece",2,0.0042159061135743,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"76","Μητσοτάκης","Parents with adult children (18-26 years) ",1,0.064650699078217,"detailed",NA,FALSE,NA,"DEMOGRAPHICS",20,"€2,939"
"77","Μητσοτάκης","National flag",2,0.0042159061135743,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"78","Μητσοτάκης","Business decision maker titles and interests",1,0.0068053367450755,"detailed",NA,FALSE,NA,"DEMOGRAPHICS",20,"€2,939"
"79","Μητσοτάκης","Small business owners",1,0.0068053367450755,"detailed",NA,FALSE,NA,"BEHAVIORS",20,"€2,939"
"80","Μητσοτάκης","Business Decision Makers",1,0.0068053367450755,"detailed",NA,FALSE,NA,"DEMOGRAPHICS",20,"€2,939"
"81","Μητσοτάκης","Investment",1,0.034026683725377,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"82","Τσίπρας","All",37,0.96972288873919,"gender",NA,NA,NA,NA,39,"€13,211"
"83","Τσίπρας","Women",2,0.030277111260815,"gender",NA,NA,NA,NA,39,"€13,211"
"84","Τσίπρας","Men",0,0,"gender",NA,NA,NA,NA,39,"€13,211"
"85","Τσίπρας","Lamía, Greece",2,0.0083860028914641,"location","CITY",FALSE,NA,NA,39,"€13,211"
"86","Τσίπρας","Karditsa, Greece",1,0.015138555630407,"location","CITY",FALSE,NA,NA,39,"€13,211"
"87","Τσίπρας","Greece",35,0.97292242247167,"location","countries",FALSE,NA,NA,39,"€13,211"
"88","Τσίπρας","Athens, Greece",1,0.0035530190064566,"location","CITY",FALSE,NA,NA,39,"€13,211"
"89","Τσίπρας","13",0,0,"age",NA,NA,NA,NA,39,"€13,211"
"90","Τσίπρας","14",0,0,"age",NA,NA,NA,NA,39,"€13,211"
"91","Τσίπρας","15",0,0,"age",NA,NA,NA,NA,39,"€13,211"
"92","Τσίπρας","16",0,0,"age",NA,NA,NA,NA,39,"€13,211"
"93","Τσίπρας","17",11,0.25684679024774,"age",NA,NA,NA,NA,39,"€13,211"
"94","Τσίπρας","18",17,0.34114356649232,"age",NA,NA,NA,NA,39,"€13,211"
"95","Τσίπρας","19",17,0.34114356649232,"age",NA,NA,NA,NA,39,"€13,211"
"96","Τσίπρας","20",17,0.34114356649232,"age",NA,NA,NA,NA,39,"€13,211"
"97","Τσίπρας","21",17,0.34114356649232,"age",NA,NA,NA,NA,39,"€13,211"
"98","Τσίπρας","22",17,0.34114356649232,"age",NA,NA,NA,NA,39,"€13,211"
"99","Τσίπρας","23",17,0.34114356649232,"age",NA,NA,NA,NA,39,"€13,211"
"100","Τσίπρας","24",17,0.34114356649232,"age",NA,NA,NA,NA,39,"€13,211"
"101","Τσίπρας","25",15,0.26545078834028,"age",NA,NA,NA,NA,39,"€13,211"
"102","Τσίπρας","26",15,0.26545078834028,"age",NA,NA,NA,NA,39,"€13,211"
"103","Τσίπρας","27",14,0.22760439926427,"age",NA,NA,NA,NA,39,"€13,211"
"104","Τσίπρας","28",13,0.20489656581866,"age",NA,NA,NA,NA,39,"€13,211"
"105","Τσίπρας","29",13,0.20489656581866,"age",NA,NA,NA,NA,39,"€13,211"
"106","Τσίπρας","30",26,0.42724788627917,"age",NA,NA,NA,NA,39,"€13,211"
"107","Τσίπρας","31",23,0.36290296942769,"age",NA,NA,NA,NA,39,"€13,211"
"108","Τσίπρας","32",23,0.36290296942769,"age",NA,NA,NA,NA,39,"€13,211"
"109","Τσίπρας","33",23,0.36290296942769,"age",NA,NA,NA,NA,39,"€13,211"
"110","Τσίπρας","34",25,0.66794486538039,"age",NA,NA,NA,NA,39,"€13,211"
"111","Τσίπρας","35",25,0.65710565954902,"age",NA,NA,NA,NA,39,"€13,211"
"112","Τσίπρας","36",25,0.65710565954902,"age",NA,NA,NA,NA,39,"€13,211"
"113","Τσίπρας","37",23,0.64953638173382,"age",NA,NA,NA,NA,39,"€13,211"
"114","Τσίπρας","38",23,0.64953638173382,"age",NA,NA,NA,NA,39,"€13,211"
"115","Τσίπρας","39",23,0.64953638173382,"age",NA,NA,NA,NA,39,"€13,211"
"116","Τσίπρας","40",25,0.67981349299463,"age",NA,NA,NA,NA,39,"€13,211"
"117","Τσίπρας","41",24,0.67626047398818,"age",NA,NA,NA,NA,39,"€13,211"
"118","Τσίπρας","42",24,0.67626047398818,"age",NA,NA,NA,NA,39,"€13,211"
"119","Τσίπρας","43",24,0.67626047398818,"age",NA,NA,NA,NA,39,"€13,211"
"120","Τσίπρας","44",27,0.71689235730019,"age",NA,NA,NA,NA,39,"€13,211"
"121","Τσίπρας","45",26,0.69418452385458,"age",NA,NA,NA,NA,39,"€13,211"
"122","Τσίπρας","46",26,0.69418452385458,"age",NA,NA,NA,NA,39,"€13,211"
"123","Τσίπρας","47",26,0.69418452385458,"age",NA,NA,NA,NA,39,"€13,211"
"124","Τσίπρας","48",26,0.69418452385458,"age",NA,NA,NA,NA,39,"€13,211"
"125","Τσίπρας","49",26,0.69418452385458,"age",NA,NA,NA,NA,39,"€13,211"
"126","Τσίπρας","50",27,0.7396001907458,"age",NA,NA,NA,NA,39,"€13,211"
"127","Τσίπρας","51",25,0.72597549067843,"age",NA,NA,NA,NA,39,"€13,211"
"128","Τσίπρας","52",25,0.72597549067843,"age",NA,NA,NA,NA,39,"€13,211"
"129","Τσίπρας","53",25,0.72597549067843,"age",NA,NA,NA,NA,39,"€13,211"
"130","Τσίπρας","54",25,0.72597549067843,"age",NA,NA,NA,NA,39,"€13,211"
"131","Τσίπρας","55",25,0.72597549067843,"age",NA,NA,NA,NA,39,"€13,211"
"132","Τσίπρας","56",24,0.68055982378721,"age",NA,NA,NA,NA,39,"€13,211"
"133","Τσίπρας","57",24,0.68055982378721,"age",NA,NA,NA,NA,39,"€13,211"
"134","Τσίπρας","58",23,0.66542126815681,"age",NA,NA,NA,NA,39,"€13,211"
