country,Γυναίκες,Άνδρες,Σύνολο,country_gr,country_en
AT,83.6,79.1,81.4,Αυστρία,Austria
BE,83.9,79.7,81.8,Βέλγιο,Belgium
BG,77.9,70.6,74.2,Βουλγαρία,Bulgaria
CY,83.4,79.7,81.6,Κύπρος,Cyprus
CZ,81.9,76.1,79.0,Τσεχία,Czech Rep.
DE,83.0,78.3,80.7,Γερμανία,Germany
DK,83.2,79.5,81.3,Δανία,Denmark
EE,82.3,73.6,78.1,Εσθονία,Estonia
EL,83.4,78.3,80.8,Ελλάδα,Greece
ES,85.9,80.5,83.2,Ισπανία,Spain
EU27_2020,83.3,77.9,80.6, E.E.,E.U.
FI,83.8,78.7,81.2,Φινλανδία,Finland
FR,85.1,79.3,82.3,Γαλλία,France
HR,80.8,74.6,77.7,Κροατία,Croatia
HU,79.3,72.6,76.0,Ουγγαρία,Hungary
IE,84.2,80.9,82.6,Ιρλανδία,Ireland
IT,84.8,80.7,82.8,Ιταλια,Italy
LT,80.1,71.4,75.8,Λιθουανία,Lithuania
LU,85.2,80.8,83.0,Λουξεμβούργο,Luxembourg
LV,79.4,69.4,74.5,Λετονία,Latvia
MT,84.6,80.4,82.4,Μάλτα,Malta
NL,83.1,80.2,81.7,Ολλανδία,Netherlands
PL,81.1,73.4,77.2,Πολωνία,Poland
PT,84.5,78.9,81.8,Πορτογαλία,Portugal
RO,79.2,71.3,75.1,Ρουμανία,Romania
SE,84.8,81.4,83.1,Σουηδία,Sweden
SI,84.1,78.6,81.3,Σλοβενία,Slovenia
SK,80.5,73.6,77.0,Σλοβακία,Slovakia
