country,Γυναίκες,Άνδρες,Σύνολο,country_gr,country_en
AT,83.6,78.9,81.3,Αυστρία,Austria
BE,83.0,78.6,80.8,Βέλγιο,Belgium
BG,77.5,70.0,73.6,Βουλγαρία,Bulgaria
CY,84.4,80.4,82.4,Κύπρος,Cyprus
CZ,81.3,75.3,78.3,Τσεχία,Czech Rep.
DE,83.5,78.7,81.1,Γερμανία,Germany
DK,83.6,79.7,81.6,Δανία,Denmark
EE,83.0,74.4,78.9,Εσθονία,Estonia
EL,83.9,78.8,81.4,Ελλάδα,Greece
ES,85.2,79.6,82.4,Ισπανία,Spain
EU27_2020,83.2,77.5,80.4, E.E.,E.U.
FI,84.8,79.2,82.0,Φινλανδία,Finland
FR,85.3,79.2,82.3,Γαλλία,France
HR,80.9,74.7,77.8,Κροατία,Croatia
HU,79.0,72.3,75.7,Ουγγαρία,Hungary
IE,84.4,80.8,82.6,Ιρλανδία,Ireland
IT,84.5,80.0,82.3,Ιταλια,Italy
LT,80.1,70.1,75.1,Λιθουανία,Lithuania
LU,84.5,79.9,82.2,Λουξεμβούργο,Luxembourg
LV,80.0,70.6,75.5,Λετονία,Latvia
MT,84.5,80.3,82.3,Μάλτα,Malta
NL,83.1,79.7,81.4,Ολλανδία,Netherlands
PL,80.7,72.5,76.5,Πολωνία,Poland
PT,84.1,78.0,81.1,Πορτογαλία,Portugal
RO,78.3,70.4,74.2,Ρουμανία,Romania
SE,84.2,80.6,82.4,Σουηδία,Sweden
SI,83.4,77.8,80.6,Σλοβενία,Slovenia
SK,80.4,73.5,77.0,Σλοβακία,Slovakia
