country,Γυναίκες,Άνδρες,Σύνολο,country_gr,country_en,eu_countries_wb_code
AT,84.2,79.5,81.9,Αυστρία,Austria,AUT
BE,84.5,80.4,82.5,Βέλγιο,Belgium,BEL
BG,79.7,72.0,75.8,Βουλγαρία,Bulgaria,BGR
CY,84.9,80.9,82.9,Κύπρος,Cyprus,CYP
CZ,82.9,76.9,79.9,Τσεχία,Czech Rep.,CZE
DE,83.5,78.7,81.1,Γερμανία,Germany,DEU
DK,83.7,79.9,81.8,Δανία,Denmark,DNK
EE,83.3,74.5,79.1,Εσθονία,Estonia,EST
EL,84.4,79.2,81.8,Ελλάδα,Greece,GRC
ES,86.7,81.3,84.0,Ισπανία,Spain,ESP
EU27_2020,84.0,78.7,81.4,E.E.,E.U.,EUU
FI,84.3,79.0,81.6,Φινλανδία,Finland,FIN
FR,85.7,80.1,83.0,Γαλλία,France,FRA
HR,81.8,75.5,78.6,Κροατία,Croatia,HRV
HU,79.9,73.4,76.7,Ουγγαρία,Hungary,HUN
IE,84.6,81.1,82.9,Ιρλανδία,Ireland,IRL
IT,85.4,81.4,83.5,Ιταλια,Italy,ITA
LT,81.9,72.9,77.6,Λιθουανία,Lithuania,LTU
LU,85.0,81.7,83.4,Λουξεμβούργο,Luxembourg,LUX
LV,80.6,70.5,75.6,Λετονία,Latvia,LVA
MT,85.2,81.6,83.4,Μάλτα,Malta,MLT
NL,83.4,80.4,81.9,Ολλανδία,Netherlands,NLD
PL,82.1,74.6,78.4,Πολωνία,Poland,POL
PT,85.3,79.5,82.5,Πορτογαλία,Portugal,PRT
RO,80.4,72.6,76.4,Ρουμανία,Romania,ROM
SE,85.0,81.7,83.4,Σουηδία,Sweden,SWE
SI,84.9,79.1,82.0,Σλοβενία,Slovenia,SVN
SK,81.5,74.9,78.2,Σλοβακία,Slovakia,SVK
