country,2022
AT,41.0
BE,46.0
BG,78.0
CY,41.0
CZ,50.0
DE,33.0
DK,26.0
EE,37.0
EL,63.0
ES,37.0
EU27_2020,46.0
FI,35.0
FR,48.0
HR,71.0
HU,55.0
IE,31.0
IT,54.0
LT,43.0
LU,56.0
LV,60.0
MT,50.0
NL,37.0
PL,50.0
PT,60.0
RO,86.0
SE,22.0
SI,40.0
SK,49.0
