country_gr,country_en,total_fatalities_per_million_2023
Αυστρία,Austria,44.0
Βέλγιο,Belgium,43.0
Βουλγαρία,Bulgaria,81.0
Κύπρος,Cyprus,36.0
Τσεχία,Czech Rep.,46.0
Γερμανία,Germany,34.0
Δανία,Denmark,27.0
Εσθονία,Estonia,43.0
Ελλάδα,Greece,61.0
Ισπανία,Spain,38.0
E.E.,E.U.,46.0
Φινλανδία,Finland,33.0
Γαλλία,France,46.0
Κροατία,Croatia,71.0
Ουγγαρία,Hungary,49.0
Ιρλανδία,Ireland,34.0
Ιταλια,Italy,52.0
Λιθουανία,Lithuania,56.0
Λουξεμβούργο,Luxembourg,39.0
Λετονία,Latvia,75.0
Μάλτα,Malta,30.0
Ολλανδία,Netherlands,34.0
Πολωνία,Poland,52.0
Πορτογαλία,Portugal,61.0
Ρουμανία,Romania,81.0
Σουηδία,Sweden,22.0
Σλοβενία,Slovenia,39.0
Σλοβακία,Slovakia,49.0
