date,EL,EU_median
1995,100752.8,41333.3
1996,114954.8,44446.7
1997,124579.9,34052.05
1998,126131.3,33196.3
1999,136512.5,35405.95
2000,148217.0,39494.0
2001,162971.0,40969.2
2002,171410.0,41987.4
2003,181510.0,43409.3
2004,199282.0,50505.1
2005,213976.0,54075.6
2006,225730.0,62298.8
2007,239915.0,63755.0
2008,264775.0,73317.3
2009,301062.0,80200.0
2010,330570.0,94286.0
2011,356235.0,102829.0
2012,305085.0,114025.7
2013,320498.0,113943.4
2014,319629.0,117801.4
2015,311729.0,108532.4
2016,315012.0,105450.1
2017,317481.0,105727.0
2018,334721.0,102597.3
2019,331145.0,104187.6
2020,341227.0,131882.3
2021,353489.0,123557.6
2022,356256.0,134682.0
