Α/Α,ΚΩΔ. ΤΠΔ,ΟΝΟΜΑΣΙΑ ΔΗΜΟΥ,ΝΟΜΟΣ,ΠΟΣΟ ΜΗΝΙΑΙΑΣ ΤΑΚΤΙΚΗΣ,ΣΥΜΨΗΦΙΣΜΟΣ ΟΦΕΙΛΩΝ ΒΑΣΕΙ ΤΟΥ ΑΡΘΡΟΥ 79 ΤΟΥ Ν.4316/2014,ΠΑΡΑΚΡΑΤΗΣΗ ΒΑΣΕΙ ΤΗΣ ΠΑΡ.5Α ΤΟΥ ΑΡΘΡΟΥ 43 ΤΗΣ ΑΠΟ 30.3.2020 ΠΝΠ,ΠΑΡΑΚΡΑΤΗΣΗ ΒΑΣΕΙ ΤΗΣ ΑΡΙΘΜ. 5711/10.3.20 17 ΚΥΑ,ΠΡΟΚΑΤΑΒΟΛΕΣ,ΑΠΟΔΟΤΕΟ ΠΟΣΟ,population_2021,funding,funding_per_capita
1,50102,ΑΓΡΙΝΙΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"1.084.716,09","0,00","0,00","0,00","0,00","1.084.716,09",88971,1084716,"12,19"
2,50106,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,"229.102,32","0,00","0,00","0,00","0,00","229.102,32",14656,229102,"15,63"
3,50105,ΑΜΦΙΛΟΧΙΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,"244.302,55","0,00","0,00","0,00","0,00","244.302,55",15073,244303,"16,21"
4,50110,ΘΕΡΜΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"103.062,63","0,00","0,00","0,00","0,00","103.062,63",5742,103063,"17,95"
5,50117,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"443.201,33","0,00","0,00","0,00","0,00","443.201,33",31944,443201,"13,87"
6,50118,ΝΑΥΠΑΚΤΙΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,"402.103,09","0,00","0,00","0,00","0,00","402.103,09",25121,402103,"16,01"
7,50109,ΞΗΡΟΜΕΡΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"143.470,55","0,00","0,00","0,00","0,00","143.470,55",10220,143471,"14,04"
8,51101,ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ,ΑΡΓΟΛΙΔΑΣ,"449.289,12","0,00","0,00","0,00","0,00","449.289,12",40009,449289,"11,23"
9,51103,ΕΠΙΔΑΥΡΟΥ,ΑΡΓΟΛΙΔΑΣ,"88.816,09","0,00","0,00","0,00","0,00","88.816,09",7089,88816,"12,53"
10,51106,ΕΡΜΙΟΝΙΔΑΣ,ΑΡΓΟΛΙΔΑΣ,"144.763,00","0,00","0,00","0,00","0,00","144.763,00",13598,144763,"10,65"
11,51112,ΝΑΥΠΛΙΕΩΝ,ΑΡΓΟΛΙΔΑΣ,"442.272,93","0,00","15.861,11","0,00","0,00","426.411,82",32586,442273,"13,57"
12,51203,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,"143.080,85","0,00","0,00","0,00","0,00","143.080,85",9538,143081,"15,00"
13,51206,ΓΟΡΤΥΝΙΑΣ,ΑΡΚΑΔΙΑΣ,"209.496,24","0,00","0,00","0,00","0,00","209.496,24",8015,209496,"26,14"
14,51215,ΜΕΓΑΛΟΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,"198.363,32","0,00","0,00","0,00","0,00","198.363,32",8791,198363,"22,56"
15,51213,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,"118.843,46","0,00","0,00","0,00","0,00","118.843,46",7263,118843,"16,36"
16,51219,ΤΡΙΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,"577.808,33","0,00","0,00","0,00","0,00","577.808,33",43944,577808,"13,15"
17,53105,ΑΡΤΑΙΩΝ,ΑΡΤΗΣ,"584.683,27","0,00","0,00","0,00","0,00","584.683,27",41633,584683,"14,04"
18,53108,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,ΑΡΤΗΣ,"87.762,51","0,00","0,00","0,00","0,00","87.762,51",5321,87763,"16,49"
19,53102,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΑΡΤΗΣ,"102.926,81","0,00","0,00","0,00","0,00","102.926,81",5562,102927,"18,51"
20,53111,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΑΡΤΗΣ,"152.603,74","0,00","0,00","0,00","0,00","152.603,74",11411,152604,"13,37"
21,59501,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,ΑΤΤΙΚΗΣ,"264.087,82","0,00","0,00","440,74","0,00","263.647,08",26759,264088,"9,87"
22,59502,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΤΤΙΚΗΣ,"610.041,88","0,00","0,00","1.018,11","0,00","609.023,77",62157,610042,"9,81"
23,59503,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,ΑΤΤΙΚΗΣ,"590.441,37","0,00","0,00","985,40","0,00","589.455,97",71747,590441,"8,23"
24,59504,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ-ΚΑΜΑΤΕΡΟΥ,ΑΤΤΙΚΗΣ,"587.819,21","0,00","0,00","981,03","0,00","586.838,18",61427,587819,"9,57"
25,59817,ΑΓΚΙΣΤΡΙΟΥ,ΑΤΤΙΚΗΣ,"27.768,03","0,00","0,00","46,33","0,00","27.721,70",1107,27768,"25,08"
26,59505,ΑΘΗΝΑΙΩΝ,ΑΤΤΙΚΗΣ,"6.263.282,21","0,00","0,00","10.452,95","0,00","6.252.829,26",637798,6263282,"9,82"
27,59506,ΑΙΓΑΛΕΩ,ΑΤΤΙΚΗΣ,"718.331,77","0,00","0,00","1.198,84","0,00","717.132,93",64828,718332,"11,08"
28,59801,ΑΙΓΙΝΑΣ,ΑΤΤΙΚΗΣ,"129.292,30","0,00","0,00","215,78","0,00","129.076,52",12938,129292,"9,99"
29,59507,ΑΛΙΜΟΥ,ΑΤΤΙΚΗΣ,"404.096,24","0,00","0,00","674,41","0,00","403.421,83",42872,404096,"9,43"
30,59508,ΑΜΑΡΟΥΣΙΟΥ,ΑΤΤΙΚΗΣ,"599.229,37","28.316,69","0,00","1.000,07","0,00","569.912,61",70519,599229,"8,50"
31,59702,ΑΣΠΡΟΠΥΡΓΟΥ,ΑΤΤΙΚΗΣ,"269.834,47","0,00","0,00","450,33","0,00","269.384,14",31420,269834,"8,59"
32,59604,ΑΧΑΡΝΩΝ,ΑΤΤΙΚΗΣ,"852.307,53","0,00","0,00","1.422,44","0,00","850.885,09",108130,852308,"7,88"
33,59606,ΒΑΡΗΣ-ΒΟΥΛΑΣ-ΒΟΥΛΙΑΓΜΕΝΗΣ,ΑΤΤΙΚΗΣ,"367.310,26","0,00","0,00","613,01","0,00","366.697,25",50585,367310,"7,26"
34,59510,ΒΡΙΛΗΣΣΙΩΝ,ΑΤΤΙΚΗΣ,"252.151,18","0,00","0,00","420,82","0,00","251.730,36",32422,252151,"7,78"
35,59511,ΒΥΡΩΝΟΣ,ΑΤΤΙΚΗΣ,"587.483,55","0,00","0,00","980,47","0,00","586.503,08",59134,587484,"9,93"
36,59512,ΓΑΛΑΤΣΙΟΥ,ΑΤΤΙΚΗΣ,"515.332,87","0,00","0,00","860,05","0,00","514.472,82",57917,515333,"8,90"
37,59513,ΓΛΥΦΑΔΑΣ,ΑΤΤΙΚΗΣ,"687.426,43","0,00","0,00","1.147,26","0,00","686.279,17",89605,687426,"7,67"
38,59514,ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ,ΑΤΤΙΚΗΣ,"357.099,91","0,00","0,00","595,97","0,00","356.503,94",33850,357100,"10,55"
39,59601,ΔΙΟΝΥΣΟΥ,ΑΤΤΙΚΗΣ,"304.158,52","0,00","0,00","507,62","0,00","303.650,90",41748,304159,"7,29"
40,59704,ΕΛΕΥΣΙΝΑΣ,ΑΤΤΙΚΗΣ,"398.377,45","0,00","0,00","664,86","0,00","397.712,59",29619,398377,"13,45"
41,59509,ΕΛΛΗΝΙΚΟΥ-ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΤΤΙΚΗΣ,"562.911,30","0,00","0,00","939,46","0,00","561.971,84",49722,562911,"11,32"
42,59516,ΖΩΓΡΑΦΟΥ,ΑΤΤΙΚΗΣ,"682.445,97","0,00","0,00","1.138,95","0,00","681.307,02",69857,682446,"9,77"
43,59517,ΗΛΙΟΥΠΟΛΕΩΣ,ΑΤΤΙΚΗΣ,"705.885,72","0,00","0,00","1.178,07","0,00","704.707,65",76708,705886,"9,20"
44,59518,ΗΡΑΚΛΕΙΟΥ,ΑΤΤΙΚΗΣ,"459.533,38","0,00","0,00","766,93","0,00","458.766,45",50495,459533,"9,10"
45,59519,ΙΛΙΟΥ,ΑΤΤΙΚΗΣ,"764.252,35","0,00","0,00","1.275,48","0,00","762.976,87",83523,764252,"9,15"
46,59520,ΚΑΙΣΑΡΙΑΝΗΣ,ΑΤΤΙΚΗΣ,"249.781,51","0,00","0,00","416,87","81.250,00","168.114,64",26260,249782,"9,51"
47,59521,ΚΑΛΛΙΘΕΑΣ,ΑΤΤΙΚΗΣ,"888.676,94","0,00","0,00","1.483,13","0,00","887.193,81",96118,888677,"9,25"
48,59809,ΚΕΡΑΤΣΙΝΙΟΥ-ΔΡΑΠΕΤΣΩΝΑΣ,ΑΤΤΙΚΗΣ,"798.398,36","0,00","0,00","1.332,47","0,00","797.065,89",89386,798398,"8,93"
49,59523,ΚΗΦΙΣΙΑΣ,ΑΤΤΙΚΗΣ,"590.899,97","0,00","0,00","986,17","0,00","589.913,80",72860,590900,"8,11"
50,59810,ΚΟΡΥΔΑΛΛΟΥ,ΑΤΤΙΚΗΣ,"541.369,20","25.582,50","0,00","903,50","0,00","514.883,20",61247,541369,"8,84"
51,59612,ΚΡΩΠΙΑΣ,ΑΤΤΙΚΗΣ,"225.056,44","0,00","0,00","375,60","0,00","224.680,84",29432,225056,"7,65"
52,59803,ΚΥΘΗΡΩΝ,ΑΤΤΙΚΗΣ,"92.250,18","0,00","0,00","153,96","0,00","92.096,22",3237,92250,"28,50"
53,59613,ΛΑΥΡΕΩΤΙΚΗΣ,ΑΤΤΙΚΗΣ,"231.440,14","0,00","0,00","386,26","0,00","231.053,88",25608,231440,"9,04"
54,59538,ΛΥΚΟΒΡΥΣΗΣ-ΠΕΥΚΗΣ,ΑΤΤΙΚΗΣ,"260.487,05","0,00","0,00","434,73","0,00","260.052,32",30996,260487,"8,40"
55,59707,ΜΑΝΔΡΑΣ-ΕΙΔΥΛΛΙΑΣ,ΑΤΤΙΚΗΣ,"175.086,15","0,00","0,00","292,21","0,00","174.793,94",17524,175086,"9,99"
56,59614,ΜΑΡΑΘΩΝΟΣ,ΑΤΤΙΚΗΣ,"263.772,49","0,00","0,00","440,22","0,00","263.332,27",31448,263772,"8,39"
57,59615,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,ΑΤΤΙΚΗΣ,"180.599,30","0,00","0,00","301,41","0,00","180.297,89",21284,180599,"8,49"
58,59708,ΜΕΓΑΡΕΩΝ,ΑΤΤΙΚΗΣ,"335.513,48","0,00","0,00","559,95","0,00","334.953,53",38046,335513,"8,82"
59,59526,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,ΑΤΤΙΚΗΣ,"239.954,54","0,00","0,00","400,47","0,00","239.554,07",30170,239955,"7,95"
60,59527,ΜΟΣΧΑΤΟΥ-ΤΑΥΡΟΥ,ΑΤΤΙΚΗΣ,"365.432,90","0,00","0,00","609,88","0,00","364.823,02",39507,365433,"9,25"
61,59529,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΤΤΙΚΗΣ,"646.822,65","0,00","0,00","1.079,50","0,00","645.743,15",64107,646823,"10,09"
62,59530,ΝΕΑΣ ΣΜΥΡΝΗΣ,ΑΤΤΙΚΗΣ,"643.888,63","0,00","0,00","1.074,60","0,00","642.814,03",72546,643889,"8,88"
63,59811,ΝΙΚΑΙΑΣ-ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,ΑΤΤΙΚΗΣ,"942.752,44","0,00","0,00","1.573,38","0,00","941.179,06",103355,942752,"9,12"
64,59617,ΠΑΙΑΝΙΑΣ,ΑΤΤΙΚΗΣ,"206.652,22","0,00","0,00","344,89","0,00","206.307,33",27916,206652,"7,40"
65,59534,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,ΑΤΤΙΚΗΣ,"549.757,61","0,00","0,00","917,50","0,00","548.840,11",64879,549758,"8,47"
66,59608,ΠΑΛΛΗΝΗΣ,ΑΤΤΙΚΗΣ,"465.746,47","0,00","0,00","777,30","0,00","464.969,17",60435,465746,"7,71"
67,59544,ΠΑΠΑΓΟΥ-ΧΟΛΑΡΓΟΥ,ΑΤΤΙΚΗΣ,"414.651,12","0,00","0,00","692,02","0,00","413.959,10",45164,414651,"9,18"
68,59812,ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,"1.516.829,15","65.972,24","0,00","2.531,47","0,00","1.448.325,44",163572,1516829,"9,27"
69,59525,ΠΕΝΤΕΛΗΣ,ΑΤΤΙΚΗΣ,"275.792,45","0,00","0,00","460,28","0,00","275.332,17",35439,275792,"7,78"
70,59813,ΠΕΡΑΜΑΤΟΣ,ΑΤΤΙΚΗΣ,"260.643,75","12.316,77","0,00","434,99","0,00","247.891,99",25636,260644,"10,17"
71,59536,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΤΤΙΚΗΣ,"1.289.369,45","0,00","0,00","2.151,86","0,00","1.287.217,59",132123,1289369,"9,76"
72,59537,ΠΕΤΡΟΥΠΟΛΕΩΣ,ΑΤΤΙΚΗΣ,"482.429,09","0,00","0,00","805,14","0,00","481.623,95",60166,482429,"8,02"
73,59814,ΠΟΡΟΥ,ΑΤΤΙΚΗΣ,"71.723,19","0,00","0,00","119,70","0,00","71.603,49",3237,71723,"22,16"
74,59619,ΡΑΦΗΝΑΣ-ΠΙΚΕΡΜΙΟΥ,ΑΤΤΙΚΗΣ,"156.407,16","0,00","0,00","261,03","0,00","156.146,13",22230,156407,"7,04"
75,59805,ΣΑΛΑΜΙΝΑΣ,ΑΤΤΙΚΗΣ,"363.663,85","0,00","0,00","606,93","0,00","363.056,92",37175,363664,"9,78"
76,59610,ΣΑΡΩΝΙΚΟΥ,ΑΤΤΙΚΗΣ,"224.347,17","0,00","0,00","374,42","0,00","223.972,75",29703,224347,"7,55"
77,59620,ΣΠΑΤΩΝ-ΑΡΤΕΜΙΔΟΣ,ΑΤΤΙΚΗΣ,"260.204,41","0,00","0,00","434,26","0,00","259.770,15",34053,260204,"7,64"
78,59815,ΣΠΕΤΣΩΝ,ΑΤΤΙΚΗΣ,"63.808,45","0,00","0,00","106,49","0,00","63.701,96",3680,63808,"17,34"
79,59806,ΤΡΟΙΖΗΝΙΑΣ-ΜΕΘΑΝΩΝ,ΑΤΤΙΚΗΣ,"76.580,85","0,00","0,00","127,81","0,00","76.453,04",6118,76581,"12,52"
80,59816,ΥΔΡΑΣ,ΑΤΤΙΚΗΣ,"46.689,47","0,00","0,00","77,92","0,00","46.611,55",2011,46689,"23,22"
81,59531,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ-ΝΕΑΣ ΧΑΛΚΗΔΟΝΑΣ,ΑΤΤΙΚΗΣ,"341.260,64","0,00","0,00","569,54","0,00","340.691,10",29951,341261,"11,39"
82,59545,ΦΙΛΟΘΕΗΣ-ΨΥΧΙΚΟΥ,ΑΤΤΙΚΗΣ,"286.709,87","0,00","0,00","478,50","0,00","286.231,37",27400,286710,"10,46"
83,59701,ΦΥΛΗΣ,ΑΤΤΙΚΗΣ,"388.213,39","18.345,10","0,00","647,90","48.330,00","320.890,39",48255,388213,"8,05"
84,59542,ΧΑΪΔΑΡΙΟΥ,ΑΤΤΙΚΗΣ,"440.214,57","0,00","0,00","734,68","0,00","439.479,89",46983,440215,"9,37"
85,59543,ΧΑΛΑΝΔΡΙΟΥ,ΑΤΤΙΚΗΣ,"623.636,23","0,00","0,00","1.040,80","0,00","622.595,43",77118,623636,"8,09"
86,59646,ΩΡΩΠΟΥ,ΑΤΤΙΚΗΣ,"314.501,53","0,00","0,00","524,88","0,00","313.976,65",33977,314502,"9,26"
87,51302,ΑΙΓΙΑΛΕΙΑΣ,ΑΧΑΙΑΣ,"591.669,39","0,00","0,00","0,00","0,00","591.669,39",47225,591669,"12,53"
88,51307,ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,ΑΧΑΙΑΣ,"272.214,09","0,00","0,00","0,00","0,00","272.214,09",25900,272214,"10,51"
89,51320,ΕΡΥΜΑΝΘΟΥ,ΑΧΑΙΑΣ,"117.059,25","0,00","0,00","0,00","0,00","117.059,25",8273,117059,"14,15"
90,51309,ΚΑΛΑΒΡΥΤΩΝ,ΑΧΑΙΑΣ,"185.378,49","0,00","0,00","0,00","0,00","185.378,49",9281,185378,"19,97"
91,51316,ΠΑΤΡΕΩΝ,ΑΧΑΙΑΣ,"1.960.745,70","0,00","0,00","0,00","0,00","1.960.745,70",211593,1960746,"9,27"
92,50302,ΑΛΙΑΡΤΟΥ-ΘΕΣΠΙΕΩΝ,ΒΟΙΩΤΙΑΣ,"117.855,38","0,00","0,00","0,00","0,00","117.855,38",8778,117855,"13,43"
93,50305,ΔΙΣΤΟΜΟΥ-ΑΡΑΧΟΒΑΣ-ΑΝΤΙΚΥΡΑΣ,ΒΟΙΩΤΙΑΣ,"102.340,39","0,00","0,00","0,00","0,00","102.340,39",7602,102340,"13,46"
94,50307,ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,"369.712,80","0,00","0,00","0,00","0,00","369.712,80",32521,369713,"11,37"
95,50310,ΛΕΒΑΔΕΩΝ,ΒΟΙΩΤΙΑΣ,"389.221,30","0,00","0,00","0,00","0,00","389.221,30",29393,389221,"13,24"
96,50312,ΟΡΧΟΜΕΝΟΥ,ΒΟΙΩΤΙΑΣ,"133.716,44","6.318,79","0,00","0,00","0,00","127.397,65",9386,133716,"14,25"
97,50318,ΤΑΝΑΓΡΑΣ,ΒΟΙΩΤΙΑΣ,"200.254,17","0,00","0,00","0,00","0,00","200.254,17",18427,200254,"10,87"
98,55103,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,"436.024,56","0,00","0,00","0,00","0,00","436.024,56",21440,436025,"20,34"
99,55104,ΔΕΣΚΑΤΗΣ,ΓΡΕΒΕΝΩΝ,"89.931,36","0,00","0,00","0,00","31.750,00","58.181,36",5205,89931,"17,28"
100,55203,ΔΟΞΑΤΟΥ,ΔΡΑΜΑΣ,"176.118,97","0,00","0,00","0,00","0,00","176.118,97",12109,176119,"14,54"
101,55202,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,"655.020,58","0,00","0,00","0,00","0,00","655.020,58",55593,655021,"11,78"
102,55204,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΔΡΑΜΑΣ,"124.259,94","0,00","0,00","0,00","0,00","124.259,94",5323,124260,"23,34"
103,55209,ΠΑΡΑΝΕΣΤΙΟΥ,ΔΡΑΜΑΣ,"79.826,14","0,00","0,00","0,00","0,00","79.826,14",2852,79826,"27,99"
104,55206,ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,"193.803,95","0,00","0,00","0,00","0,00","193.803,95",10744,193804,"18,04"
105,58126,ΑΓΑΘΟΝΗΣΙΟΥ,ΔΩΔ/ΝΗΣΟΥ,"15.390,83","0,00","0,00","0,00","0,00","15.390,83",203,15391,"75,82"
106,58114,ΑΣΤΥΠΑΛΑΙΑΣ,ΔΩΔ/ΝΗΣΟΥ,"41.139,44","0,00","0,00","0,00","0,00","41.139,44",1399,41139,"29,41"
107,58117,ΗΡΩΙΚΗΣ ΝΗΣΟΥ	ΚΑΣΟΥ,ΔΩΔ/ΝΗΣΟΥ,"40.727,10","0,00","0,00","0,00","0,00","40.727,10",1224,40727,"33,27"
108,58116,ΚΑΛΥΜΝΙΩΝ,ΔΩΔ/ΝΗΣΟΥ,"230.828,23","0,00","0,00","0,00","0,00","230.828,23",17797,230828,"12,97"
109,58108,ΚΑΡΠΑΘΟΥ,ΔΩΔ/ΝΗΣΟΥ,"91.192,15","0,00","0,00","0,00","0,00","91.192,15",6416,91192,"14,21"
110,58118,ΚΩ,ΔΩΔ/ΝΗΣΟΥ,"329.947,05","0,00","0,00","0,00","0,00","329.947,05",36986,329947,"8,92"
111,58119,ΛΕΙΨΩΝ,ΔΩΔ/ΝΗΣΟΥ,"33.690,52","0,00","0,00","0,00","0,00","33.690,52",778,33691,"43,30"
112,58120,ΛΕΡΟΥ,ΔΩΔ/ΝΗΣΟΥ,"131.683,18","0,00","0,00","0,00","0,00","131.683,18",7988,131683,"16,49"
113,58121,ΜΕΓΙΣΤΗΣ,ΔΩΔ/ΝΗΣΟΥ,"23.222,00","0,00","0,00","0,00","0,00","23.222,00",584,23222,"39,76"
114,58110,ΝΙΣΥΡΟΥ,ΔΩΔ/ΝΗΣΟΥ,"35.734,97","0,00","0,00","0,00","0,00","35.734,97",1043,35735,"34,26"
115,58122,ΠΑΤΜΟΥ,ΔΩΔ/ΝΗΣΟΥ,"62.007,06","0,00","0,00","0,00","0,00","62.007,06",3217,62007,"19,27"
116,58123,ΡΟΔΟΥ,ΔΩΔ/ΝΗΣΟΥ,"1.077.233,84","0,00","64.019,46","0,00","0,00","1.013.214,38",124851,1077234,"8,63"
117,58124,ΣΥΜΗΣ,ΔΩΔ/ΝΗΣΟΥ,"54.947,43","0,00","0,00","0,00","0,00","54.947,43",2495,54947,"22,02"
118,58113,ΤΗΛΟΥ,ΔΩΔ/ΝΗΣΟΥ,"27.679,64","0,00","0,00","0,00","0,00","27.679,64",745,27680,"37,15"
119,58125,ΧΑΛΚΗΣ,ΔΩΔ/ΝΗΣΟΥ,"27.285,28","0,00","0,00","0,00","0,00","27.285,28",476,27285,"57,32"
120,57101,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΕΒΡΟΥ,"807.339,21","0,00","0,00","0,00","0,00","807.339,21",71601,807339,"11,28"
121,57103,ΔΙΔΥΜΟΤΕΙΧΟΥ,ΕΒΡΟΥ,"258.555,97","0,00","0,00","0,00","0,00","258.555,97",16161,258556,"16,00"
122,57106,ΟΡΕΣΤΙΑΔΑΣ,ΕΒΡΟΥ,"427.688,65","0,00","5.489,14","0,00","0,00","422.199,51",31694,427689,"13,49"
123,57113,ΣΑΜΟΘΡΑΚΗΣ,ΕΒΡΟΥ,"65.641,56","0,00","0,00","0,00","0,00","65.641,56",2622,65642,"25,04"
124,57108,ΣΟΥΦΛΙΟΥ,ΕΒΡΟΥ,"193.032,78","0,00","0,00","0,00","0,00","193.032,78",11784,193033,"16,38"
125,50417,ΔΙΡΦΥΩΝ-ΜΕΣΣΑΠΙΩΝ,ΕΥΒΟΙΑΣ,"195.599,66","0,00","0,00","0,00","0,00","195.599,66",15435,195600,"12,67"
126,50423,ΕΡΕΤΡΙΑΣ,ΕΥΒΟΙΑΣ,"135.262,22","6.391,84","0,00","0,00","0,00","128.870,38",12676,135262,"10,67"
127,50410,ΙΣΤΙΑΙΑΣ-ΑΙΔΗΨΟΥ,ΕΥΒΟΙΑΣ,"238.079,70","0,00","0,00","0,00","0,00","238.079,70",18460,238080,"12,90"
128,50411,ΚΑΡΥΣΤΟΥ,ΕΥΒΟΙΑΣ,"143.550,02","0,00","0,00","0,00","0,00","143.550,02",11593,143550,"12,38"
129,50420,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,ΕΥΒΟΙΑΣ,"321.618,09","0,00","0,00","0,00","0,00","321.618,09",26359,321618,"12,20"
130,50409,ΜΑΝΤΟΥΔΙΟΥ-ΛΙΜΝΗΣ-ΑΓΙΑΣ ΑΝΝΑΣ,ΕΥΒΟΙΑΣ,"151.804,30","0,00","0,00","0,00","0,00","151.804,30",11986,151804,"12,67"
131,50425,ΣΚΥΡΟΥ,ΕΥΒΟΙΑΣ,"67.631,03","0,00","0,00","0,00","0,00","67.631,03",2913,67631,"23,22"
132,50426,ΧΑΛΚΙΔΕΩΝ,ΕΥΒΟΙΑΣ,"939.712,22","0,00","0,00","0,00","0,00","939.712,22",108313,939712,"8,68"
133,50504,ΑΓΡΑΦΩΝ,ΕΥΡΥΤΑΝΙΑΣ,"160.595,33","0,00","0,00","0,00","0,00","160.595,33",5984,160595,"26,84"
134,50506,ΚΑΡΠΕΝΗΣΙΟΥ,ΕΥΡΥΤΑΝΙΑΣ,"263.962,40","0,00","0,00","0,00","0,00","263.962,40",11477,263962,"23,00"
135,52105,ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,"443.967,45","0,00","0,00","0,00","0,00","443.967,45",40508,443967,"10,96"
136,51415,ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ,ΗΛΕΙΑΣ,"231.209,41","0,00","0,00","0,00","0,00","231.209,41",22615,231209,"10,22"
137,51418,ΑΝΔΡΙΤΣΑΙΝΑΣ-ΚΡΕΣΤΕΝΩΝ,ΗΛΕΙΑΣ,"203.487,45","0,00","0,00","0,00","0,00","203.487,45",11273,203487,"18,05"
138,51405,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΗΛΕΙΑΣ,"165.571,75","0,00","0,00","0,00","0,00","165.571,75",11307,165572,"14,64"
139,51410,ΖΑΧΑΡΩΣ,ΗΛΕΙΑΣ,"135.548,19","0,00","0,00","0,00","0,00","135.548,19",8606,135548,"15,75"
140,51402,ΗΛΙΔΑΣ,ΗΛΕΙΑΣ,"363.095,71","0,00","0,00","0,00","0,00","363.095,71",29409,363096,"12,35"
141,51409,ΠΗΝΕΙΟΥ,ΗΛΕΙΑΣ,"201.926,01","0,00","0,00","0,00","25.000,00","176.926,01",21658,201926,"9,32"
142,51417,ΠΥΡΓΟΥ,ΗΛΕΙΑΣ,"551.768,22","0,00","0,00","0,00","0,00","551.768,22",44482,551768,"12,40"
143,55301,ΑΛΕΞΑΝΔΡΕΙΑΣ,ΗΜΑΘΙΑΣ,"434.890,33","0,00","2.246,69","0,00","0,00","432.643,64",38293,434890,"11,36"
144,55306,ΒΕΡΟΙΑΣ,ΗΜΑΘΙΑΣ,"742.811,67","0,00","0,00","0,00","0,00","742.811,67",62064,742812,"11,97"
145,55310,ΗΡΩΙΚΗΣ ΠΟΛΕΩΣ ΝΑΟΥΣΑΣ,ΗΜΑΘΙΑΣ,"364.958,40","0,00","0,00","0,00","0,00","364.958,40",29669,364958,"12,30"
146,59120,ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,ΗΡΑΚΛΕΙΟΥ,"225.861,49","0,00","0,00","0,00","0,00","225.861,49",16002,225861,"14,11"
147,59105,ΒΙΑΝΝΟΥ,ΗΡΑΚΛΕΙΟΥ,"77.630,34","0,00","0,00","0,00","0,00","77.630,34",4314,77630,"17,99"
148,59108,ΓΟΡΤΥΝΑΣ,ΗΡΑΚΛΕΙΟΥ,"176.110,32","0,00","0,00","0,00","0,00","176.110,32",13936,176110,"12,64"
149,59112,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,"1.602.746,35","0,00","41.666,67","0,00","0,00","1.561.079,68",177064,1602746,"9,05"
