Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,9050055773.0,10178802686.0,-1128746913.0
1,Beverages and tobacco,Ποτά και καπνός,1499049131.0,1156476423.0,342572708.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",1737906549.0,2482529238.0,-744622689.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",12705105097.0,16504376946.0,-3799271849.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,1058404749.0,461689103.0,596715646.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,6327810174.0,12478214420.0,-6150404246.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",7535743993.0,9874556241.0,-2338812248.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,4771414820.0,19820743539.0,-15049328719.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,3819575362.0,9458801190.0,-5639225828.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",153031218.0,37318144.0,115713074.0
