Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,5120159817.0,6906796664.0,-1786636847.0
1,Beverages and tobacco,Ποτά και καπνός,394339338.0,365256587.0,29082751.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",5367025476.0,4770789679.0,596235797.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",21237598541.0,32365299777.0,-11127701236.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,253103610.0,343405615.0,-90302005.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,3699202390.0,4082228197.0,-383025807.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",6442078335.0,6734991444.0,-292913109.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,615517102.0,1730630894.0,-1115113792.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,325341927.0,915564623.0,-590222696.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",27748655.0,59564.0,27689091.0
