Division_Code,Division_EN,Division_GR,Exports,Imports,Balance
68,Non-ferrous metals,Μη σιδηρούχα μέταλλα,803629623.0,673612100.0,130017523.0
69,"Manufactures of metals, n.e.s.","Είδη από μέταλλο, μη κατονομαζόμενα",213224069.0,422493343.0,-209269274.0
71,Power-generating machinery and equipment,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,19326528.0,80095960.0,-60769432.0
72,Machinery specialized for particular industries,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,21327986.0,115037272.0,-93709286.0
73,Metalworking machinery,Μηχανήματα κατεργασίας μετάλλων,3293250.0,13475031.0,-10181781.0
74,"General industrial machinery and equipment, n.e.s., and machine parts, n.e.s.","Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα",90978540.0,218628522.0,-127649982.0
75,Office machines and automatic data-processing machines,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,8901394.0,20917502.0,-12016108.0
76,Telecommunications and sound-recording and reproducing apparatus and equipment,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,7294424.0,32832274.0,-25537850.0
77,"Electrical machinery, apparatus and appliances, n.e.s., and electrical parts thereof (including nonelectrical counterparts, n.e.s., of electrical household-type equipment)","Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",344259256.0,714547895.0,-370288639.0
78,Road vehicles (including air-cushion vehicles),Οχήματα για δρόμους,56313216.0,449986963.0,-393673747.0
79,Other transport equipment,Λοιπό μεταφορικό υλικό,2340065.0,4808685.0,-2468620.0
81,"Prefabricated buildings; sanitary plumbing, heating and lighting fixtures and fittings, n.e.s.","Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",9619361.0,60551400.0,-50932039.0
82,"Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση",55345775.0,217553301.0,-162207526.0
83,"Travel goods, handbags and similar containers","Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",2009795.0,21160844.0,-19151049.0
84,Articles of apparel and clothing accessories,Είδη ενδυμασίας και συμπληρώματα ένδυσης,22504329.0,109626821.0,-87122492.0
85,Footwear,Υποδήματα,8809272.0,38539706.0,-29730434.0
87,"Professional, scientific and controlling instruments and apparatus, n.e.s.","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.",16418211.0,46691339.0,-30273128.0
88,"Photographic apparatus, equipment and supplies and optical goods, n.e.s.; watches and clocks","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου",616732.0,5337599.0,-4720867.0
89,"Miscellaneous manufactured articles, n.e.s.","Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",254069353.0,418607272.0,-164537919.0
93,Special transactions and commodities not classified according to kind,Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,1010.0,,
96,"Coin (other than gold coin), not being legal tender",Νομίσματα (εκτός των χρυσών),3855.0,30.0,3825.0
97,"Gold, non- monetary (excluding gold, ores and concentrates)",Χρυσός μη νομισματικός,952.0,1368.0,-416.0
