partner,Exports_Euro,Imports_Euro,Imports_Percent,Exports_Percent,Balance_Euro,code_eu_trade,country_greek,countru_en,code_wb
IT,5248840852.0,7474122889.0,8.8,10.51,-2225282037.0,IT,Ιταλία,Italy,ITA
DE,3522932835.0,9156925431.0,10.78,7.05,-5633992596.0,DE,Γερμανία,Germany,DEU
CY,3315467681.0,598454546.0,0.7,6.64,2717013135.0,CY,Κύπρος,Cyprus,CYP
BG,2944119556.0,2724315880.0,3.21,5.89,219803676.0,BG,Βουλγαρία,Bulgaria,BGR
US,2411709539.0,2161478652.0,2.54,4.83,250230887.0,US,Ηνωμένες Πολιτείες,United States,USA
GB,1962534177.0,905519534.0,1.07,3.93,1057014643.0,GB,Ηνωμένο Βασίλειο,United Kingdom,GBR
RO,1814879425.0,1121382374.0,1.32,3.63,693497051.0,RO,Ρουμανία,Romania,ROU
ES,1569617502.0,3172368086.0,3.73,3.14,-1602750584.0,ES,Ισπανία,Spain,ESP
TR,1518877912.0,3234762883.0,3.81,3.04,-1715884971.0,TR,Τουρκία,Turkey,TUR
FR,1469147276.0,3974034650.0,4.68,2.94,-2504887374.0,FR,Γαλλία,France,FRA
MK,1334766401.0,418485692.0,0.49,2.67,916280709.0,MK,Βόρεια Μακεδονία,North Macedonia,MKD
UA,1240800234.0,402878839.0,0.47,2.48,837921395.0,UA,Ουκρανία,Ukraine,UKR
GI,1238620441.0,103452.0,0.0,2.48,1238516989.0,,,,
LB,1220058624.0,58374885.0,0.07,2.44,1161683739.0,LB,Λίβανος,Lebanon,LBN
NL,1174291850.0,4830462964.0,5.69,2.35,-3656171114.0,NL,Ολλανδία,Netherlands,NLD
PL,1159273828.0,1612475119.0,1.9,2.32,-453201291.0,PL,Πολωνία,Poland,POL
LY,1096814195.0,2422578568.0,2.85,2.2,-1325764373.0,LY,Λιβύη,Libya,LBY
IL,986277042.0,436575582.0,0.51,1.97,549701460.0,IL,Ισραήλ,Israel,ISR
EG,906196251.0,1250310063.0,1.47,1.81,-344113812.0,EG,Αίγυπτος,Egypt,EGY
AL,874641225.0,322328387.0,0.38,1.75,552312838.0,AL,Αλβανία,Albania,ALB
