Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Νέα Δημοκρατία,Καραμανλής Κωνσταντίνος του Αλεξάνδρου,165,45.36,3360424
Πανελλήνιο Σοσιαλιστικό Κίνημα,Παπανδρέου Γιώργος του Ανδρέα,117,40.55,3003988
Κομμουνιστικό Κόμμα Ελλάδας,Παπαρήγα Αλεξάνδρα του Νικολάου,12,5.9,43681
Συνασπισμός Ριζοσπαστικής Αριστεράς,Κωνσταντόπουλος Νικόλαος του Ανδρέα  (από 12/12/2004 αρχηγός είναι ο  Αλαβάνος Αλέξανδρος του Νικολάου),6,3.26,241714
