Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Πανελλήνιο Σοσιαλιστικό Κίνημα,Σημίτης Κωνσταντίνος του Γεωργίου,158,43.8,3008081
Νέα Δημοκρατία,Καραμανλής Κωνσταντίνος του Αλεξάνδρου,125,42.73,2934948
Κομμουνιστικό Κόμμα Ελλάδας,Παπαρήγα Αλεξάνδρα του Νικολάου,11,5.52,379280
Συνασπισμός της Αριστεράς και της Προόδου,Κωνσταντόπουλος Νικόλαος του Ανδρέα,6,3.2,219988
