Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Νέα Δημοκρατία,Μητσοτάκης Κωνσταντίνος του Κυριάκου,145,44.28,2887488
Πανελλήνιο Σοσιαλιστικό Κίνημα,Παπανδρέου Ανδρέας του Γεωργίου,125,39.13,2551518
Συνασπισμός της Αριστεράς και της Προόδου,Φλωράκης Χαρίλαος του Ιωάννη,28,13.13,855944
Δημοκρατική Ανανέωση,Στεφανόπουλος Κωνσταντίνος του Δημητρίου,1,1.01,65614
Εμπιστοσύνη,Διοικούσα Επιτροπή,1,0.39,25099
