Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Νέα Δημοκρατία,Μητσοτάκης Κυριάκος του Κωνσταντίνου,158,40.56,2114780
Συνασπισμός Ριζοσπαστικής Αριστεράς,Τσίπρας Αλέξιος του Παύλου,47,17.83,929968
ΠΑΣΟΚ - Κίνημα Αλλαγής,Ανδρουλάκης Νικόλαος του Μαρίνου,32,11.84,617574
Κομμουνιστικό Κόμμα Ελλάδας,Κουτσούμπας Δημήτριος του Αποστόλου,21,7.69,401187
Σπαρτιάτες,Στίγκας Βασίλειος του Αθανασίου,12,4.63,241633
Ελληνική Λύση,Βελόπουλος Κυριάκος του Ιωσήφ,12,4.44,231378
ΝΙΚΗ,Νατσιός Δημήτριος του Ιωάννη,10,3.69,192239
Πλεύση Ελευθερίας,Κωνσταντοπούλου Ζωή του Νικολάου,8,3.17,165210
