Κόμμα,Αρχηγός κόμματος,Έδρες,Ποσοστό (%),Ψήφοι
Νέα Δημοκρατία,Καραμανλής Κωνσταντίνος του Γεωργίου,220,54.37,2669133
Ένωση Κέντρου – Νέες Δυνάμεις,Μαύρος Γεώργιος,60,20.42,1002559
Πανελλήνιο Σοσιαλιστικό Κίνημα,Παπανδρέου Ανδρέας του Γεωργίου,12,13.58,666413
Ενωμένη Αριστερά  α) Ενιαία Δημοκρατική Αριστερά  β) Κομμουνιστικό Κόμμα Ελλάδας (εσωτ.)  γ) Κομμουνιστικό Κόμμα Ελλάδας,Πρ. Ηλίας Ηλιού  Γραμμ. Χαρ. Δρακόπουλος  Γραμμ. Χαρίλ .Φλωράκης,8,9.47,464787
