Day,Max (2006-2021),Average (2006-2021),Min (2006-2021),Current Year 2022
08 Jan,0,0.00,0,124
15 Jan,0,0.00,0,0
22 Jan,134,8.38,0,33
29 Jan,0,0.00,0,0
05 Feb,89,9.88,0,0
12 Feb,78,4.88,0,0
19 Feb,163,12.06,0,0
26 Feb,50,5.06,0,0
05 Mar,85,9.69,0,0
12 Mar,412,37.38,0,0
19 Mar,0,0.00,0,0
26 Mar,147,12.63,0,259
02 Apr,90,12.69,0,97
09 Apr,342,38.19,0,210
16 Apr,49,4.94,0,0
23 Apr,137,8.56,0,0
30 Apr,217,24.75,0,33
07 May,40,2.50,0,0
14 May,44,2.75,0,0
21 May,7005,437.81,0,0
28 May,385,47.69,0,0
04 Jun,108,9.13,0,0
11 Jun,230,44.88,0,499
18 Jun,1810,192.56,0,0
25 Jun,4915,583.19,0,401
02 Jul,14987,1545.94,0,72
09 Jul,2480,666.69,0,2317
16 Jul,1779,641.94,0,501
23 Jul,6236,1453.38,0,10632
30 Jul,35648,5258.69,38,5989
06 Aug,94462,7350.00,0,136
13 Aug,10087,1539.50,0,813
20 Aug,11171,2074.06,0,51
27 Aug,202251,18177.81,73,0
03 Sep,8077,2004.38,0,
10 Sep,2826,418.44,0,
17 Sep,9143,1084.13,0,
24 Sep,1174,257.56,0,
01 Oct,462,90.38,0,
08 Oct,986,100.75,0,
15 Oct,324,65.81,0,
22 Oct,566,77.31,0,
29 Oct,610,62.13,0,
05 Nov,846,69.31,0,
12 Nov,586,74.06,0,
19 Nov,174,23.38,0,
26 Nov,147,23.44,0,
03 Dec,86,5.38,0,
10 Dec,102,10.13,0,
17 Dec,30,1.88,0,
24 Dec,658,41.13,0,
31 Dec,208,13.00,0,
07 Jan,0,0.00,0,
