Day,Max (2006-2021),Average (2006-2021),Min (2006-2021),Current Year 2022
08 Jan,0,0.00,0,124
15 Jan,134,8.38,0,124
22 Jan,134,8.38,0,157
29 Jan,168,10.50,0,157
05 Feb,168,18.25,0,157
12 Feb,168,25.00,0,157
19 Feb,198,35.19,0,157
26 Feb,248,40.25,0,157
05 Mar,248,49.94,0,157
12 Mar,660,87.31,0,157
19 Mar,660,87.31,0,157
26 Mar,660,99.94,0,416
02 Apr,738,112.63,0,513
09 Apr,738,150.81,0,723
16 Apr,738,155.75,0,723
23 Apr,738,177.88,0,723
30 Apr,738,189.06,0,756
07 May,738,191.56,0,756
14 May,738,194.31,0,756
21 May,7830,639.63,0,756
28 May,8095,682.19,0,756
04 Jun,8095,688.94,0,816
11 Jun,8095,776.56,0,1255
18 Jun,8095,1219.69,0,1255
25 Jun,8128,1531.81,0,1728
02 Jul,15713,3201.81,40,1728
09 Jul,16837,3728.31,40,4045
16 Jul,18616,4396.00,40,6931
23 Jul,26914,6059.19,1353,15178
30 Jul,61729,11405.44,1505,21303
06 Aug,115801,19000.69,1559,21440
13 Aug,116805,20300.38,2541,22116
20 Aug,127720,22993.88,2599,22167
27 Aug,268246,41134.69,6051,22167
03 Sep,271105,42269.25,6191,22167
10 Sep,271105,42682.75,6191,22260
17 Sep,271294,43831.75,6191,
24 Sep,271294,44020.63,6274,
01 Oct,271294,44074.50,6274,
08 Oct,271365,44183.75,6472,
15 Oct,271365,44239.00,6472,
22 Oct,271365,44323.69,6472,
29 Oct,271365,44403.63,6472,
05 Nov,271365,44447.75,6472,
12 Nov,271365,44525.69,6472,
19 Nov,271365,44547.50,6472,
26 Nov,271365,44574.00,6472,
03 Dec,271365,44577.75,6472,
10 Dec,271365,44586.00,6472,
17 Dec,271365,44586.00,6472,
24 Dec,271365,44627.13,6472,
31 Dec,271365,44640.13,6472,
