entity,twh,share,entity_gr
Austria,45.71,58.03,Αυστρία
Belgium,0.55,0.72,Βέλγιο
Bulgaria,2.79,7.28,Βουλγαρία
Croatia,6.73,44.51,Κροατία
Cyprus,0.0,0.0,Κύπρος
Czechia,2.66,3.65,Τσεχία
Denmark,0.02,0.06,Δανία
Estonia,0.03,0.48,Εσθονία
Finland,14.3,17.4,Φινλανδία
France,71.12,12.7,Γαλλία
Germany,23.83,4.83,Γερμανία
Greece,3.58,6.28,Ελλάδα
Hungary,0.23,0.61,Ουγγαρία
Ireland,0.77,2.49,Ιρλανδία
Italy,53.13,19.86,Ιταλια
Latvia,3.21,50.79,Λετονία
Lithuania,0.44,6.03,Λιθουανία
Luxembourg,0.11,7.33,Λουξεμβούργο
Malta,0.0,0.0,Μάλτα
Netherlands,0.09,0.07,Ολλανδία
Poland,2.11,1.23,Πολωνία
Portugal,14.89,31.47,Πορτογαλία
Romania,14.19,26.92,Ρουμανία
Slovakia,4.83,16.36,Σλοβακία
Slovenia,5.34,31.96,Σλοβενία
Spain,34.41,12.22,Ισπανία
Sweden,64.61,37.57,Σουηδία
EU_Median,3.21,7.28,ΕΕ_Διάμεσος
