entity,twh,share
Austria,39.79,59.42
Belgium,0.38,0.46
Bulgaria,3.11,7.78
Croatia,7.87,46.49
Cyprus,0.0,0.0
Czechia,2.34,3.07
Denmark,0.01,0.03
Estonia,0.02,0.31
EU,315.98,11.73
Finland,15.11,18.93
France,53.19,10.35
Germany,19.47,3.85
Greece,3.87,7.84
Hungary,0.22,0.61
Ireland,0.94,3.0
Italy,37.94,14.45
Latvia,3.8,61.19
Lithuania,0.46,8.27
Luxembourg,0.07,6.14
Malta,0.0,0.0
Netherlands,0.06,0.05
Poland,2.38,1.41
Portugal,10.98,24.47
Romania,18.3,32.52
Slovakia,4.63,15.63
Slovenia,4.96,32.59
Spain,20.01,7.42
Sweden,66.07,39.72
