entity,twh,share,entity_gr
Austria,8.05,11.42,Αυστρία
Belgium,15.27,18.62,Βέλγιο
Bulgaria,1.55,3.87,Βουλγαρία
Croatia,2.52,14.48,Κροατία
Cyprus,0.2,3.76,Κύπρος
Czechia,0.72,0.95,Τσεχία
Denmark,19.41,57.75,Δανία
Estonia,0.75,12.89,Εσθονία
Finland,14.36,17.76,Φινλανδία
France,48.61,9.38,Γαλλία
Germany,137.32,27.66,Γερμανία
Greece,10.91,22.35,Ελλάδα
Hungary,0.63,1.77,Ουγγαρία
Ireland,11.56,37.0,Ιρλανδία
Italy,23.51,8.99,Ιταλια
Latvia,0.26,4.08,Λετονία
Lithuania,2.53,47.83,Λιθουανία
Luxembourg,0.49,35.25,Λουξεμβούργο
Malta,0.0,0.0,Μάλτα
Netherlands,29.27,24.49,Ολλανδία
Poland,23.06,14.03,Πολωνία
Portugal,13.23,28.62,Πορτογαλία
Romania,7.52,13.21,Ρουμανία
Slovakia,0.0,0.0,Σλοβακία
Slovenia,0.01,0.06,Σλοβενία
Spain,64.13,22.99,Ισπανία
Sweden,34.17,20.59,Σουηδία
EU_Median,8.05,14.03,ΕΕ_Διάμεσος
