country,2001,2025,country_gr
AT,38.3,43.8,Αυστρία
BE,39.0,42.1,Βέλγιο
BG,39.3,47.3,Βουλγαρία
CY,33.6,41.0,Κύπρος
CZ,37.6,44.3,Τσεχία
DE,40.2,45.5,Γερμανία
DK,38.4,42.2,Δανία
EE,38.2,42.9,Εσθονία
EL,38.7,47.2,Ελλάδα
ES,37.6,45.8,Ισπανία
EU27_2020,38.4,44.9,E.E.
FI,39.5,43.5,Φινλανδία
FR,37.6,42.8,Γαλλία
HR,39.8,45.5,Κροατία
HU,38.6,44.8,Ουγγαρία
IE,32.6,39.6,Ιρλανδία
IT,40.4,49.1,Ιταλια
LT,36.2,44.3,Λιθουανία
LU,37.1,39.8,Λουξεμβούργο
LV,38.2,44.4,Λετονία
MT,36.7,40.0,Μάλτα
NL,37.6,42.6,Ολλανδία
PL,35.4,43.4,Πολωνία
PT,37.9,47.3,Πορτογαλία
RO,34.4,44.1,Ρουμανία
SE,39.4,41.2,Σουηδία
SI,38.2,45.5,Σλοβενία
SK,34.3,43.0,Σλοβακία
