country,country_gr,population_2023,percent_of_total
AT,Αυστρία,9104772.0,0.020286786001053228
BE,Βέλγιο,11742796.0,0.026164695777777174
BG,Βουλγαρία,6447710.0,0.014366456729158173
CY,Κύπρος,920701.0,0.002051458746902801
CZ,Τσεχία,10827529.0,0.024125344790973113
DE,Γερμανία,84358845.0,0.1879640517973453
DK,Δανία,5932654.0,0.01321883536636529
EE,Εσθονία,1365884.0,0.0030433926747712725
EL,Ελλάδα,10413982.0,0.023203900575744268
ES,Ισπανία,48085361.0,0.10714133515813365
FI,Φινλανδία,5563970.0,0.012397352586784175
FR,Γαλλία,68172977.0,0.15189953086729943
HR,Κροατία,3850894.0,0.00858036450454112
HU,Ουγγαρία,9599744.0,0.021389657225122684
IE,Ιρλανδία,5271395.0,0.0117454519774929
IT,Ιταλια,58997201.0,0.131454537395129
LT,Λιθουανία,2857279.0,0.006366442522481987
LU,Λουξεμβούργο,660809.0,0.0014723807219521787
LV,Λετονία,1883008.0,0.004195621849099707
MT,Μάλτα,542051.0,0.0012077702372620537
NL,Ολλανδία,17811291.0,0.03968620509327256
PL,Πολωνία,36753736.0,0.0818927895142466
PT,Πορτογαλία,10516621.0,0.023432595531352393
RO,Ρουμανία,19054548.0,0.04245636657598859
SE,Σουηδία,10521556.0,0.023443591445244053
SI,Σλοβενία,2116972.0,0.004716928434256416
SK,Σλοβακία,5428792.0,0.012096155900249863
