country,Ημιαστικές περιοχές,Αγροτικές περιοχές,Αστικές περιοχές,TOTAL,country_gr
AT,0.2770532956349864,0.40097388640163784,0.3219728179633758,8932664.0,Αυστρία
BE,0.3806709659770357,0.08378165009098619,0.5355473839319781,11566041.0,Βέλγιο
BG,0.679398306785408,0.1314304476741866,0.1891712455404054,6916548.0,Βουλγαρία
CZ,0.5328457133801237,0.21176856890215523,0.25538571771772106,10701777.0,Τσεχία
DE,0.4079594414437775,0.15633238113999381,0.43570817741622875,83155031.0,Γερμανία
DK,0.48732278604017604,0.2815938918278883,0.23108332213193564,5840045.0,Δανία
EL,0.23560115190784736,0.3117751412353193,0.45262370685683334,10678632.0,Ελλάδα
ES,0.33153473951128826,0.03311637588334447,0.6353488846053673,47398695.0,Ισπανία
FI,0.30145236730033087,0.39086030142435757,0.3076873312753115,5533793.0,Φινλανδία
FR,0.36664873692741834,0.27859945895661864,0.354751804115963,67656682.0,Γαλλία
HR,0.3751315233669982,0.4244933857403524,0.20037509089264943,4036355.0,Κροατία
HU,0.6374301031819469,0.18541684051378451,0.17715305630426856,9730772.0,Ουγγαρία
IE,0.1471786484454462,0.5683897007065464,0.2844316508480074,5006324.0,Ιρλανδία
IT,0.41658760326221395,0.10407365170356181,0.47933874503422425,59236213.0,Ιταλια
LT,0.6226374263148858,0.08048202941681451,0.2968805442682997,2795680.0,Λιθουανία
LV,0.45831156710012505,0.217047331455407,0.324641101444468,1893223.0,Λετονία
NL,0.2506489259339478,0.006020114543774783,0.7433309595222775,17475415.0,Ολλανδία
PL,0.38997612605771337,0.35606320412095127,0.25396066982133536,37840001.0,Πολωνία
PT,0.22091050015089939,0.3080649026650348,0.4710245971840658,10298252.0,Πορτογαλία
RO,0.34965848268759236,0.5291511224392972,0.12119039487311047,19201662.0,Ρουμανία
SE,0.5131017087384067,0.08933439120865146,0.39756390005294195,10379295.0,Σουηδία
SK,0.5031892304837868,0.37280872621081323,0.12400204330539998,5459781.0,Σλοβακία
