country,Ημιαστικές περιοχές,Αγροτικές περιοχές,Αστικές περιοχές,TOTAL,country_gr
AT,0.3028236923511503,0.3563932900107891,0.34078301763806057,9197213.0,Αυστρία
BE,0.27810724033628154,0.08122475753134915,0.6406680021323693,11883495.0,Βέλγιο
BG,0.7032454298035219,0.09544052220164788,0.2013140479948302,6437360.0,Βουλγαρία
CZ,0.6572421284201843,0.21462367661212706,0.1281341949676887,10909500.0,Τσεχία
DE,0.4070990703917363,0.1362698221068584,0.4566311075014053,83577140.0,Γερμανία
DK,0.5872611732808432,0.17686651868746386,0.23587230803169304,5992734.0,Δανία
EE,0.23481107595283193,0.19790218212475227,0.5672867419224158,1369995.0,Εσθονία
EL,0.24848802126040087,0.2842965446063977,0.46721543413320143,10372335.0,Ελλάδα
ES,0.3486505750443578,0.026186476604308104,0.625162948351334,49128297.0,Ισπανία
EU27_2020,0.3916715903853508,0.19160709078644866,0.4167213188282005,450325281.0,E.E.
FI,0.4800984604072661,0.20366499401788973,0.31623654557484415,5635971.0,Φινλανδία
FR,0.37290968982007067,0.2667097205970739,0.36038058958285546,68882600.0,Γαλλία
HR,0.3242386464826358,0.4751189231742099,0.20064243034315435,3874350.0,Κροατία
HU,0.6415695494376961,0.18177458320151305,0.17665586736079095,9539502.0,Ουγγαρία
IE,0.14471447966445833,0.5692238521634372,0.28606166817210443,5440278.0,Ιρλανδία
IT,0.39881400590912,0.08301958636160237,0.5181664077292777,58943464.0,Ιταλια
LT,0.6194531775398316,0.07725076314646047,0.30329605931370784,2890664.0,Λιθουανία
LV,0.2763461636653382,0.2665588141236667,0.45709502221099507,1860565.0,Λετονία
NL,0.2113116434596335,0.0058814476391550515,0.7828069089012115,18044027.0,Ολλανδία
PL,0.392545954181239,0.37916402207877553,0.22829002373998544,36497495.0,Πολωνία
PT,0.22252792769242863,0.3046396459042563,0.4728324264033151,10749635.0,Πορτογαλία
RO,0.4323249865529082,0.4461901289340194,0.12148488451307245,19043151.0,Ρουμανία
SE,0.5303199653182794,0.06863693848811499,0.4010430961936056,10587710.0,Σουηδία
SK,0.37465676873912135,0.48946507681313106,0.13587815444774756,5419451.0,Σλοβακία
