country,Ημιαστικές περιοχές,Αγροτικές περιοχές,Αστικές περιοχές,TOTAL,country_gr
AT,0.2773266165708627,0.40064410799996303,0.32202927542917426,8978929.0,Αυστρία
BE,0.38094935599132457,0.08395495360797987,0.5350956904006956,11617623.0,Βέλγιο
BG,0.6781733769443994,0.13065085992165157,0.19117576313394904,6838937.0,Βουλγαρία
CZ,0.5344049235183599,0.2124521487572108,0.2531429277244293,10516707.0,Τσεχία
DE,0.4082379996694744,0.1564252508291853,0.43533674950134027,83237124.0,Γερμανία
DK,0.487945524072857,0.28066901396460664,0.23138546196253632,5873420.0,Δανία
EL,0.2299788848371792,0.30185065042464554,0.46817046473817525,10459782.0,Ελλάδα
ES,0.33117214672105283,0.032983060931999236,0.6358447923469479,47432893.0,Ισπανία
EU27_2020,0.38685024550701996,0.2078531534684597,0.40529660102452036,446735291.0, E.E.
FI,0.30129044502572977,0.3896492600087127,0.30906029496555754,5548241.0,Φινλανδία
FR,0.36737861788950293,0.27834438171600406,0.354277000394493,67871925.0,Γαλλία
HR,0.37389175634756966,0.4275677348112073,0.19854050884122304,3862305.0,Κροατία
HU,0.6391899688409858,0.18464641898398287,0.1761636121750313,9689010.0,Ουγγαρία
IE,0.14696648461147463,0.567837693408938,0.28519582197958737,5060004.0,Ιρλανδία
IT,0.4166786817166751,0.10391379263875282,0.47940752564457206,59030133.0,Ιταλια
LT,0.6274865484579818,0.08101288739336236,0.2915005641486558,2805998.0,Λιθουανία
LV,0.4607057310728415,0.21633026026292318,0.3229640086642353,1875757.0,Λετονία
NL,0.25039452728127726,0.00597902115393886,0.7436264515647839,17590672.0,Ολλανδία
PL,0.3906879348828832,0.3552049786044055,0.2541070865127113,37654247.0,Πολωνία
PT,0.22353444856579988,0.30690350753986506,0.46956204389433503,10352042.0,Πορτογαλία
RO,0.3431400520573634,0.5377435840074192,0.11911636393521739,19042455.0,Ρουμανία
SE,0.5128400128354206,0.08916264188468671,0.3979973452798927,10452326.0,Σουηδία
SK,0.49994535129000395,0.36688954262893786,0.1331651060810582,5434712.0,Σλοβακία
