country,country_gr,population_2021,percent_of_total
AT,Αυστρία,8932664.0,0.019974316664451028
BE,Βέλγιο,11554767.0,0.025837597276909645
BG,Βουλγαρία,6916548.0,0.015466082680024171
CY,Κύπρος,896007.0,0.00200355991802275
CZ,Τσεχία,10701777.0,0.02393022760850948
DE,Γερμανία,83155031.0,0.18594284095273728
DK,Δανία,5840045.0,0.013058915925265285
EE,Εσθονία,1330068.0,0.0029741630735526433
EL,Ελλάδα,10678632.0,0.02387847310848589
ES,Ισπανία,47398695.0,0.10598815128518566
FI,Φινλανδία,5533793.0,0.012374106284253214
FR,Γαλλία,67656682.0,0.15128700583992233
HR,Κροατία,4036355.0,0.009025687403012163
HU,Ουγγαρία,9730772.0,0.021758964774402513
IE,Ιρλανδία,5006324.0,0.011194633639062337
IT,Ιταλια,59236213.0,0.13245800765201407
LT,Λιθουανία,2795680.0,0.00625141588360118
LU,Λουξεμβούργο,634730.0,0.0014193188075166605
LV,Λετονία,1893223.0,0.004233433130186244
MT,Μάλτα,516100.0,0.0011540504412259518
NL,Ολλανδία,17475415.0,0.03907674945041003
PL,Πολωνία,37840001.0,0.08461396987025858
PT,Πορτογαλία,10298252.0,0.023027905957093666
RO,Ρουμανία,19201662.0,0.04293680779572097
SE,Σουηδία,10379295.0,0.02320912608867335
SI,Σλοβενία,2108977.0,0.004715880328202643
SK,Σλοβακία,5459781.0,0.012208608161300268
