country,Ημιαστικές περιοχές,Αγροτικές περιοχές,Αστικές περιοχές,TOTAL,country_gr
AT,0.2769761834782903,0.39865742931289216,0.32436638720881755,9104772.0,Αυστρία
BE,0.3803838540667827,0.08369335548365142,0.5359227904495658,11742796.0,Βέλγιο
CZ,0.5291681047448591,0.21253501145090445,0.25829688380423643,10827529.0,Τσεχία
DE,0.4081481319475154,0.15625756848614986,0.4355942995663347,84358845.0,Γερμανία
DK,0.48826225159936854,0.2793710875436188,0.23236666085701274,5932654.0,Δανία
EL,0.23015163652097728,0.3011841195807713,0.4686642438982514,10413982.0,Ελλάδα
ES,0.3309046385239782,0.03260624371729267,0.6364891177587291,48085361.0,Ισπανία
FI,0.301048531893594,0.3874772869012594,0.3114741812051467,5563970.0,Φινλανδία
FR,0.36747484270783715,0.27787705383615563,0.3546481034560072,68172977.0,Γαλλία
HR,0.37337485789014185,0.4270288925117129,0.19959624959814526,3850894.0,Κροατία
IE,0.1472479296277361,0.5683531588886813,0.2843989114835826,5271395.0,Ιρλανδία
IT,0.41667173329121154,0.10364515428452276,0.4796831124242657,58997201.0,Ιταλια
LT,0.6237231295928749,0.07923762432720081,0.29703924607992427,2857279.0,Λιθουανία
LV,0.4609863579974169,0.2153352508327102,0.3236783911698729,1883008.0,Λετονία
NL,0.24998496740073473,0.005941848909211578,0.7440731836900537,17811291.0,Ολλανδία
PL,0.3929335510273024,0.34803188443210237,0.25903456454059526,36753736.0,Πολωνία
PT,0.22345831797607918,0.30583749531639576,0.47070418670752506,10467366.0,Πορτογαλία
RO,0.3439017813489987,0.5359103768822016,0.12018784176879976,19054548.0,Ρουμανία
SE,0.5121556165266811,0.08878905363427235,0.3990553298390466,10521556.0,Σουηδία
SK,0.4990027247313951,0.36682930567242217,0.1341679695961827,5428792.0,Σλοβακία
