country,Ημιαστικές περιοχές,Αγροτικές περιοχές,Αστικές περιοχές,TOTAL,country_gr
AT,0.3031327419134707,0.35779293025795006,0.3390743278285792,9158750.0,Αυστρία
BE,0.2783624673946966,0.08149870323470335,0.6401388293706001,11817096.0,Βέλγιο
BG,0.704433695483704,0.09589695478118701,0.199669349735109,6445481.0,Βουλγαρία
CZ,0.6580430996403395,0.2149237355345668,0.12703316482509378,10900555.0,Τσεχία
DE,0.4073118130627925,0.13664321140547697,0.4560449755317305,83456045.0,Γερμανία
DK,0.5877114007484002,0.17819218757679808,0.23409641167480172,5961249.0,Δανία
EE,0.23515534809014707,0.1984604495423322,0.5663842023675207,1374687.0,Εσθονία
EL,0.24780524809820859,0.28381448592020553,0.4683802659815859,10400720.0,Ελλάδα
ES,0.3497378582897322,0.026377232518632623,0.6238849091916352,48619695.0,Ισπανία
EU27_2020,0.3920398985156048,0.19224558963678526,0.41571451184760994,448982919.0,E.E.
FI,0.48098049002373544,0.20503239647164068,0.3139871135046239,5603851.0,Φινλανδία
FR,0.3730029937475903,0.2674850390759907,0.35951196717641903,68467362.0,Γαλλία
HR,0.32368013501927906,0.476390140050394,0.19992972493032696,3861967.0,Κροατία
HU,0.6415640379119605,0.18250611108809972,0.1759298509999398,9584627.0,Ουγγαρία
IE,0.14620247357792812,0.5698211459165821,0.2839763805054898,5351681.0,Ιρλανδία
IT,0.39859592550469103,0.08321766393544784,0.5181864105598611,58971230.0,Ιταλια
LT,0.621105578831633,0.07803378575282297,0.3008606354155441,2885891.0,Λιθουανία
LV,0.27511563228878744,0.26543500071051485,0.4594493670006977,1871882.0,Λετονία
NL,0.21161713614188798,0.005885991271665483,0.7824968725864465,17942942.0,Ολλανδία
PL,0.3918755292391217,0.3802373339646656,0.22788713679621267,36620970.0,Πολωνία
PT,0.22288929244982436,0.3052505299478577,0.47186017760231797,10639726.0,Πορτογαλία
RO,0.4324237648246426,0.4466669491706759,0.12090928600468145,19067576.0,Ρουμανία
SE,0.530942434243104,0.06894818061191427,0.40010938514498173,10551707.0,Σουηδία
SK,0.375016844289818,0.48990494751125735,0.13507820819892466,5424687.0,Σλοβακία
