area,density
Βόρειος Τομέας Αθηνών,4480.4
Δυτικός Τομέας Αθηνών,6990.1
Κεντρικός Τομέας Αθηνών,11313.4
Νότιος Τομέας Αθηνών,7529.0
Ανατολική Αττική,344.6
Δυτική Αττική,164.5
"Πειραιάς, Νήσοι",562.7
"Λέσβος, Λήμνος",47.4
"Ικαρία, Σάμος",55.4
Χίος,57.5
"Κάλυμνος, Κάρπαθος, Κως, Ρόδος",77.5
"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",46.9
Ηράκλειο,115.5
Λασίθι,42.7
Ρεθύμνη,57.0
Χανιά,66.2
Έβρος,31.9
Ξάνθη,61.2
Ροδόπη,41.6
Δράμα,25.1
"Θάσος, Καβάλα",61.2
Ημαθία,77.4
Θεσσαλονίκη,306.6
Κιλκίς,28.0
Πέλλα,50.6
Πιερία,77.9
Σέρρες,38.9
Χαλκιδική,35.4
"Γρεβενά, Κοζάνη",28.3
Καστοριά,26.8
Φλώρινα,24.7
"Άρτα, Πρέβεζα",45.1
Θεσπρωτία,26.9
Ιωάννινα,32.4
"Καρδίτσα, Τρίκαλα",37.9
Λάρισα,49.9
"Μαγνησία, Σποράδες",73.2
Ζάκυνθος,101.2
Κέρκυρα,161.1
"Ιθάκη, Κεφαλληνία",43.3
Λευκάδα,64.8
Αιτωλοακαρνανία,36.8
Αχαΐα,93.2
Ηλεία,58.0
Βοιωτία,36.1
Εύβοια,50.7
Ευρυτανία,9.5
Φθιώτιδα,30.9
Φωκίδα,17.2
"Αργολίδα, Αρκαδία",25.9
Κορινθία,60.1
"Λακωνία, Μεσσηνία",34.6
